SKU,batch,Last_Month_Stock,month_in,month_out,month_sales,month_end_stock,Note_value,safety_stock,Location,month_end_inventory,inventory_diff,Remark,Time
BHC150,202411415040,5395,674.84,319.39,2411.67,3338.78,3338.78,562.34,B-4,3338.56,-0.22,,2024-11
BHC150,202411445448,169.67,232.6,210.6,191.67,0,0,562.34,B-4,0,0,,2024-11
BHC150,202411595905,5864.06,154.44,587.87,355.15,5075.48,5075.48,562.34,B-4,5114.42,38.94,,2024-11
BHC150,202411935656,3991.38,1960.25,357.74,1471.87,4122.02,4122.02,562.34,B-4,4079.05,-42.97,,2024-11
BHC151,202411243249,4944.57,3385.08,448.14,136.89,7744.62,7744.62,366.73,C-1,7733.11,-11.51,,2024-11
BHC151,202411289433,4031.4,3587.49,66.61,673.98,6878.3,6878.3,366.73,C-1,6780.19,-98.11,,2024-11
BHC151,202411543517,315.44,2025.59,277.13,1890.01,173.89,173.89,366.73,C-1,174.46,0.57,,2024-11
BHC151,202411612093,2566.95,840.31,470.7,2458.01,478.55,478.55,366.73,C-1,486.19,7.64,,2024-11
BHC151,202411953636,3811.99,2451.05,114.15,462.16,5686.73,5686.73,366.73,C-1,5751.82,65.09,,2024-11
BHC152,202411180180,76.15,2705.05,559.08,1688.89,533.23,533.23,336.98,E-7,533.31,0.08,,2024-11
BHC152,202411673387,3172.32,2337.38,19.23,581.52,4908.95,4908.95,336.98,E-7,4921.97,13.02,,2024-11
BHC153,202411178516,3240.93,2388.1,505.09,1256.06,3867.88,3867.88,515.7,E-8,3865.14,-2.74,,2024-11
BHC153,202411307199,4458.26,1149.01,553.26,1358.6,3695.41,3695.41,515.7,E-8,3688.62,-6.79,,2024-11
BHC153,202411510768,3362.33,2916.47,164.65,647.74,5466.41,5466.41,515.7,E-8,5504.83,38.42,,2024-11
BHC153,202411558145,1049.07,544.62,294.04,1299.65,0,0,515.7,E-8,0.17,0.17,,2024-11
BHC153,202411725557,2179.05,3811.72,167.07,394.33,5429.37,5429.37,515.7,E-8,5494.86,65.49,,2024-11
BHC153,202411782915,3011.93,1255.98,115.34,2125.6,2026.97,2026.97,515.7,E-8,2029.36,2.39,,2024-11
BHC153,202411802369,391.52,2590.76,205.41,596.95,2179.92,2179.92,515.7,E-8,2169.5,-10.42,,2024-11
BHC153,202411943108,3285.13,927.39,420.63,1658.36,2133.53,2133.53,515.7,E-8,2095.65,-37.88,,2024-11
BHC154,202411458017,5971.31,2992.3,126.1,1476.18,7361.33,7361.33,538.47,D-5,7446.04,84.71,,2024-11
BHC154,202411564385,5515.06,2176.03,83.17,736.3,6871.62,6871.62,538.47,D-5,6939.67,68.05,,2024-11
BHC155,202411629702,5043.9,681.26,380.77,640.45,4703.94,4703.94,398.27,D-7,4731.88,27.94,,2024-11
BHC155,202411696330,144.99,101.12,595.55,0,0,0,398.27,D-7,0,0,,2024-11
BHC156,202411335041,5873.5,1113.86,154.34,2431.92,4401.1,4401.1,536.29,A-1,4368.02,-33.08,,2024-11
BHC156,202411505107,3117.31,793.78,509.64,2190.59,1210.86,1210.86,536.29,A-1,1201.9,-8.96,,2024-11
BHC156,202411843425,740.72,1158.8,83.73,905.71,910.08,910.08,536.29,A-1,913.74,3.66,,2024-11
BHC156,202411854197,617.59,746.96,145.97,1218.58,0,0,536.29,A-1,1.06,1.06,,2024-11
BHC157,202411130644,3491.37,238.22,559.32,488.01,2682.26,2682.26,880.19,A-1,2696.04,13.78,,2024-11
BHC157,202411163456,2329.04,2505.19,209.02,661.41,3963.8,3963.8,880.19,A-1,3921.76,-42.04,,2024-11
BHC157,202411434587,589.7,1996.44,445.19,2136.14,4.81,4.81,880.19,A-1,4.55,-0.26,,2024-11
BHC157,202411507201,5020.98,1891.47,535.25,2164.13,4213.07,4213.07,880.19,A-1,4251.34,38.27,,2024-11
BHC157,202411791441,2360.82,3516.36,446.35,378.15,5052.68,5052.68,880.19,A-1,5028.11,-24.57,,2024-11
BHC157,202411980243,3959.1,3037.24,451.65,1235.34,5309.35,5309.35,880.19,A-1,5345.14,35.79,,2024-11
BHC158,202411359250,3152.16,3847.23,393.64,2069.37,4536.38,4536.38,736.03,E-5,4511.52,-24.86,,2024-11
BHC158,202411406077,3776.35,2485.28,287.61,2173.23,3800.79,3800.79,736.03,E-5,3782.81,-17.98,,2024-11
BHC158,202411426524,4764.96,3721.14,22.49,1304.19,7159.42,7159.42,736.03,E-5,7124.96,-34.46,,2024-11
BHC158,202411534011,5633.85,690.55,551.89,2253.71,3518.8,3518.8,736.03,E-5,3498.25,-20.55,,2024-11
BHC158,202411658538,5390.7,3528.99,122.03,783.52,8014.14,8014.14,736.03,E-5,8060.48,46.34,,2024-11
BHC158,202411860044,5706.09,75.88,353.31,646.78,4781.88,4781.88,736.03,E-5,4773.37,-8.51,,2024-11
BHC159,202411186280,1587.89,431.32,307.04,1712.17,0,0,223.02,A-7,0,0,,2024-11
BHC159,202411208480,311.69,3347.45,198.3,2355.2,1105.64,1105.64,223.02,A-7,1106.48,0.84,,2024-11
BHC159,202411346899,176.16,2324.91,52.62,316.42,2132.03,2132.03,223.02,A-7,2114.21,-17.82,,2024-11
BHC159,202411478423,2876.37,102.4,294.2,1197.5,1487.07,1487.07,223.02,A-7,1461.94,-25.13,,2024-11
BHC159,202411567308,4930.79,203.18,398.93,1921.56,2813.48,2813.48,223.02,A-7,2791.14,-22.34,,2024-11
BHC159,202411968712,3324.91,633.77,81.89,2395.11,1481.68,1481.68,223.02,A-7,1477.98,-3.7,,2024-11
