SKU,batch,Last_Month_Stock,month_in,month_out,month_sales,month_end_stock,Note_value,safety_stock,Location,month_end_inventory,inventory_diff,Remark,Time
FWD110,24100761,6193.05,0.0,0.0,375.0,5818.05,5818.05,1000.0,2F-2,5818.05,0,,2025-01
FWD111,23112560,1523.94,0.0,320.0,50.0,1153.94,1153.94,479.0,2C-4,1153.94,0,,2025-01
FWD111M,23121560,50.0,0.0,0.0,0.0,50.0,5370.0,459.0,E-4,50.0,0,,2025-01
FWD111M,24092061,6145.0,0.0,100.0,725.0,5320.0,,,2E-1,5320.0,0,,2025-01
FWD111MT,24040761,1623.8,0.0,0.0,0.0,1623.8,1623.8,333.0,B-1,1623.8,0,,2025-01
FWD111Z,24090961,4.0,0.0,0.0,0.0,4.0,4.0,,D-2,4.0,0,,2025-01
FWD120,24072661,675.0,0.0,0.0,675.0,0.0,2772.85,2000.0,,0.0,0,,2025-01
FWD120,24072661,591.35,0.0,0.0,591.35,0.0,,,,0.0,0,,2025-01
FWD120,24072661,3998.5,0.0,0.0,1333.65,2664.85,,,C-2,2664.85,0,,2025-01
FWD120,24042964,308.0,0.0,0.0,250.0,58.0,,,2G-4,58.0,0,2个零头,2025-01
FWD120,24051560,50.0,0.0,0.0,0.0,50.0,,,D-2,50.0,0,,2025-01
FWD120K,24040760,588.43,0.0,0.0,0.0,588.43,588.43,,B-1,588.43,0,,2025-01
FWD122,23030261,4.0,0.0,0.0,0.0,4.0,837.3,1000.0,D-2,4.0,0,,2025-01
FWD122,24040764,888.3,0.0,0.0,55.0,833.3,,,A-3,833.3,0,,2025-01
FWD123,24072660,4569.35,0.0,0.0,350.0,4219.35,4219.35,783.0,B-1,4219.35,0,2个零头,2025-01
定制123,24112161,6266.0,0.0,0.0,900.0,5366.0,5366.0,,E-3,5366.0,0,,2025-01
FWD123T,25011360,0.0,3324.0,0.0,525.0,2799.0,2799.0,400.0,E-2,2799.0,0,,2025-01
FWD123T,24091862,115.0,0.0,3.5,111.5,0.0,,,,0.0,0,,2025-01
FWD100,25011660,0.0,5000.0,0.0,25.0,4975.0,4975.0,5000.0,E-4,4975.0,0,,2025-01
FWD100,24112961,8771.0,0.0,2.0,8769.0,0.0,,,,0.0,0,,2025-01
FWD100,24112961,8700.0,0.0,0.0,8700.0,0.0,,,,0.0,0,,2025-01
FWD100,23123060,1572.0,0.0,0.0,500.0,1072.0,1072.0,,E-5,1072.0,0,,2025-01
FWD100K,24071560,7350.0,0.0,0.0,2050.0,5300.0,6396.0,,E-4,5300.0,0,,2025-01
FWD100,24121460,1296.0,0.0,0.0,200.0,1096.0,,,A-3,1096.0,0,,2025-01
FWD100W,24031160,1850.0,0.0,0.0,200.0,1650.0,1650.0,,C-2,1650.0,0,,2025-01
FWD101,24050561,4850.0,0.0,0.0,0.0,4850.0,4925.0,1000.0,E-2,4850.0,0,,2025-01
FWD101,24050561,350.0,0.0,0.0,275.0,75.0,,,A-3,75.0,0,,2025-01
FWD101T,24112962,1950.0,0.0,0.0,800.0,1150.0,1150.0,0.0,E-4,1150.0,0,,2025-01
FWD173,25011062,0.0,3583.0,8.0,925.0,2650.0,14400.0,1000.0,E-3,2650.0,0,,2025-01
