SKU,batch,Last_Month_Stock,month_in,month_out,month_sales,month_end_stock,Note_value,safety_stock,Location,month_end_inventory,inventory_diff,Remark,Time
FWD110,24100761,5818.05,0.0,0.0,375.5,5442.55,5442.55,1000.0,2F-2,5442.55,0,,2025-02
FWD111,23112560,1153.94,0.0,0.0,0.0,1153.94,1153.94,479.0,2C-4,1153.94,0,3个零头,2025-02
FWD111M,23121560,50.0,0.0,50.0,0.0,0.0,4695.0,459.0,,0.0,0,,2025-02
FWD111M,24092061,5320.0,0.0,260.0,365.0,4695.0,,,2E-1,4695.0,0,2个零头,2025-02
FWD111MT,24040761,1623.8,0.0,0.0,0.0,1623.8,1623.8,333.0,B-1,1623.8,0,,2025-02
FWD111Z,24090961,4.0,0.0,4.0,0.0,0.0,0.0,,,0.0,0,,2025-02
FWD120,24051560,50.0,0.0,0.0,0.0,50.0,2588.85,2000.0,D-2,50.0,0,,2025-02
FWD120,24042964,58.0,0.0,0.0,25.0,33.0,,,2G-4,33.0,0,2个零头,2025-02
FWD120,24072661,2664.85,0.0,0.0,159.0,2505.85,,,C-2,2505.85,0,,2025-02
FWD120K,24040760,588.43,0.0,0.0,0.0,588.43,588.43,,B-1,588.43,0,,2025-02
FWD122,25022462,0.0,4590.0,0.0,0.0,4590.0,4890.0,1000.0,2G-4,4590.0,0,,2025-02
FWD122,24040764,833.3,0.0,94.8,438.5,300.0,,,A-3,300.0,0,,2025-02
FWD122,23030261,4.0,0.0,4.0,0.0,0.0,,,,0.0,0,,2025-02
FWD123,24072660,4219.35,0.0,0.0,202.0,4017.35,4017.35,783.0,B-1,4017.35,0,,2025-02
定制123,24112161,5366.0,0.0,0.0,900.0,4466.0,4466.0,,E-3,4466.0,0,,2025-02
FWD123T,25011360,2799.0,0.0,0.0,575.0,2224.0,2224.0,400.0,E-2,2224.0,0,,2025-02
FWD100,25011660,4975.0,150.0,75.0,4050.0,1000.0,15400.0,5000.0,E-4,1000.0,0,,2025-02
FWD100,25021460,0.0,1684.0,184.0,850.0,650.0,,,C-2,650.0,0,,2025-02
FWD100,25021460,0.0,5000.0,0.0,5000.0,0.0,,,,0.0,0,,2025-02
FWD100,25021860,0.0,16000.0,0.0,2250.0,13750.0,,,E-5,13750.0,0,,2025-02
FWD6100,25011660,0.0,25.0,0.0,25.0,0.0,,,,0.0,0,,2025-02
FWD173,25011660,0.0,50.0,0.0,50.0,0.0,0.0,,,0.0,0,,2025-02
FWD100,23123060,1072.0,0.0,0.0,200.0,872.0,872.0,,E-5,872.0,0,,2025-02
FWD100K,24071560,5300.0,0.0,0.0,650.0,4650.0,5550.0,,E-4,4650.0,0,,2025-02
FWD100,24121460,1096.0,0.0,96.0,100.0,900.0,,,A-3,900.0,0,,2025-02
FWD100W,24031160,1650.0,0.0,0.0,0.0,1650.0,1650.0,,C-2,1650.0,0,,2025-02
FWD101,24050561,4925.0,0.0,0.0,250.0,4675.0,4675.0,1000.0,E-2,4675.0,0,,2025-02
FWD101T,24112962,1150.0,0.0,0.0,1150.0,0.0,,,,0.0,0,,2025-02
FWD173,25011062,2650.0,0.0,15.0,160.0,2475.0,11200.0,1000.0,E-3,2475.0,0,,2025-02
FWD173,25011361,6000.0,0.0,0.0,0.0,6000.0,,,E-4,6000.0,0,,2025-02
FWD173,25011361,5750.0,0.0,25.0,3000.0,2725.0,,,E-3,2725.0,0,,2025-02
定制173,23062562,1800.0,0.0,0.0,0.0,1800.0,1800.0,,E-4,1800.0,0,,2025-02
FWD173K,22110860,2600.0,0.0,0.0,0.0,2600.0,2600.0,,E-3,2600.0,0,,2025-02
FWD103,24110561,5983.25,0.0,110.0,2703.5,3169.75,3169.75,1000.0,2C-3,3169.75,0,,2025-02
FWD151,24081461,1620.89,0.0,0.0,50.0,1570.89,5495.89,1000.0,B2-D2,1570.89,0,2个零头,2025-02
FWD151,24081461,4375.0,0.0,0.0,450.0,3925.0,,,E-3,3925.0,0,,2025-02
FWD151K,24040762,925.0,0.0,0.0,0.0,925.0,925.0,,C-2,925.0,0,,2025-02
FWD153,25010960,6285.0,0.0,0.0,325.0,5960.0,9960.0,1000.0,E-2,5960.0,0,,2025-02
FWD153,25010960,6000.0,0.0,0.0,2000.0,4000.0,,,E-2,4000.0,0,,2025-02
FWD153,24112160,2035.0,0.0,0.0,0.0,2035.0,2035.0,,A-2,2035.0,0,,2025-02
FWD163,24090760,125.0,0.0,0.0,100.0,25.0,5025.0,745.0,A-3,25.0,0,,2025-02
FWD163,24090760,5000.0,0.0,0.0,0.0,5000.0,,,B-2,5000.0,0,,2025-02
HC010AS,24032561,56.3,0.0,0.0,0.0,56.3,56.3,,B-2,56.3,0,,2025-02
FWD104Z,24060761,2852.58,0.0,0.0,1207.33,1645.25,1645.25,,棚,1645.25,0,,2025-02
FWD001,17092062,0.3,0.0,0.0,0.0,0.3,2703.1,,E-1,0.3,0,,2025-02
FWD001,15120460,25.0,0.0,0.0,0.0,25.0,,,E-1,25.0,0,退,2025-02
FWD001,17123060,2678.0,0.0,0.0,0.2,2677.8,,,D-2,2677.8,0,,2025-02
FWD205,25022460,0.0,2730.0,0.0,27.0,2703.0,6703.0,800.0,A-3,2703.0,0,,2025-02
FWD205,25022460,0.0,4000.0,0.0,0.0,4000.0,,,A-3,4000.0,0,,2025-02
FWD205,25011560,1000.0,0.0,0.0,1000.0,0.0,,,,0.0,0,,2025-02
FWD205,25011560,1575.0,74.5,224.5,1425.0,0.0,,,,0.0,0,,2025-02
FWD2205G,24010260,694.95,0.0,0.0,267.0,427.95,427.95,500.0,2B-3,427.95,0,,2025-02
FWD205A,25022260,0.0,3946.0,0.0,400.0,3546.0,3546.0,410.0,E-4,3546.0,0,,2025-02
FWD205A,24041761,170.0,0.0,20.0,150.0,0.0,,,,0.0,0,,2025-02
FWD215,23111161,106.73,0.0,0.0,100.0,6.73,3356.73,500.0,2C3-D2,6.73,0,,2025-02
