SKU,Customer_type,Safety_Stock
BHC100,普通,1000
BHC110,普通,900
BHC120,普通,400
BHC151,普通,425
BHC153,普通,500
BHC173,普通,500
BHC201,普通,200
BHC205,普通,500
BHC216,普通,500
BHC219,普通,500
BHC223,普通,200
BHC225,普通,500
BHC235,普通,500
BHC300,普通,1000
BHC306,普通,850
BHC355H,普通,300
BHC500,普通,500
BHC502,普通,500
BHC504,普通,500
BHC505,普通,300
BHC508,普通,300
BHC510,普通,300
BHC520,普通,200
BHC522,普通,300
BHC5518H,普通,200
BHC5800,普通,500
BHC5800,普通,200
BHC5801,普通,200
BHC5802,普通,200
BHC5803,普通,200
BHC5805,普通,200
BHC5806,普通,300
BHC5810,普通,200
BHC5811,普通,500
BHC5812,普通,500
BHC5813,普通,200
BHC5815,普通,200
BHC5816,普通,200
BHC5830A,普通,500
BHC5880,普通,500
BHC5881,普通,425
BHC6001H,普通,200
BHC6002H,普通,200
BHC6003H,普通,200
BHC6018TH,普通,200
BHC6205H,普通,200
BHC6216H,普通,200
BHC6219H,普通,200
BHC6225H,普通,200
BHC6235H,普通,100
BHC6300H,普通,200
BHC6300H,普通,200
BHC6300TH,普通,200
BHC6303H,普通,200
BHC6304H,普通,200
BHC6306H,普通,200
BHC6307H,普通,250
BHC6353H,普通,200
BHC6500H,普通,200
BHC6502H,普通,200
BHC6504H,普通,200
BHC6505H,普通,200
BHC6508H,普通,200
BHC6510H,普通,200
BHC6520H,普通,200
BHC6522H,普通,200
BHC6525H,普通,200
BHC6530H,普通,200
BHC6532H,普通,200
BHC6534H,普通,200
BHC6535H,普通,200
BHC6600,普通,500
BHC6600RG,普通,500
BHC6607,普通,500
BHC6608,普通,500
BHC6609,普通,500
BHC6609H,普通,200
BHC6643,普通,500
BHC6643A,普通,300
BHC6643C,普通,300
BHC6643D,普通,500
BHC6650,普通,300
BHC6654,普通,300
BHC6664,普通,500
BHC6665AH,普通,500
BHC6666,普通,200
BHC6810AH,普通,200
BHC6881H,普通,200
BHC6882H,普通,200
BHC6883H,普通,200
BHC6884H,普通,200
BHC6885H,普通,200
BHC7305H,普通,200
BHC7322H,普通,200
BHC7351H,普通,200
BHC7365H,普通,200
BHC8216H,普通,50
BHC8416,普通,200
BHC8417,普通,200
BHC8426,普通,200
BHC8439,普通,200
BHC8502H,普通,0
BHC8502H,普通,200
BHC8503H,普通,200
BHC8503H,普通,200
BHC8690,普通,225
BHC8805,普通,150
BHC8819,普通,200
BHC8824,普通,200
BHC8830,普通,100
BHC8833,普通,100
BHC9220YBH,普通,100
BHC9221RGTH,普通,100
BHC9222PGH,普通,100
BHC9224BOH,普通,5
BHC9224BOTH,普通,100
BHC9227GOTH,普通,100
BHC9250YBTH,普通,100
BHC9251RGTH,普通,100
BHC9252PGTH,普通,100
BHC9255BOTH,普通,100
BHC9256BMTH,普通,100
BHC9257GOTH,普通,100
FB2205,普通,0
FWD D10L,普通,769
FWD D10M,普通,500
FWD D10X,普通,300
FWD D10Y,普通,0
FWD D21L,普通,200
FWD D21M,普通,65
FWD D21X,普通,36
FWD D23L,普通,327
FWD D23M,普通,283
FWD D23X,普通,200
FWD D25L,普通,100
FWD D25M,普通,100
FWD D25X,普通,214
FWD D27L,普通,500
FWD D27M,普通,500
FWD D27X,普通,171
FWD D28L,普通,216
FWD D28M,普通,153
FWD D28MA,普通,9
FWD D28X,普通,161
FWD D29L,普通,100
FWD D29M,普通,100
FWD D29X,普通,100
FWD V015,普通,50
FWD V020,普通,50
FWD V040,普通,100
FWD V060,普通,100
FWD V080,普通,100
FWD V090,普通,100
FWD V095,普通,0
FWD V150,普通,100
FWD V155,普通,0
FWD V220,普通,100
FWD V550,普通,50
FWD V580,普通,0
FWD100,普通,5000
FWD101,大客户,100
FWD101,普通,1000
FWD101WR,普通,54
FWD103,大客户,100
FWD103,普通,1000
FWD103GWR,普通,0
FWD103TWR,普通,100
FWD110,普通,1000
FWD111,大客户,200
FWD111,普通,479
FWD111M,普通,459
FWD111MT,普通,333
FWD111WR,普通,200
FWD120,普通,2000
FWD121,大客户,200
FWD121,普通,314
FWD121WR,普通,500
FWD122,普通,1000
FWD123,大客户,100
FWD123,普通,783
FWD123T,普通,400
FWD123TS,普通,0
FWD151,大客户,100
FWD151,普通,1000
FWD151WR,普通,100
FWD151Y,普通,0
FWD153,大客户,26
FWD153,普通,1000
FWD163,普通,745
FWD173,大客户,100
FWD173,普通,1000
FWD201,大客户,500
FWD201,普通,800
FWD201WR,普通,100
FWD205,大客户,255
FWD205,普通,800
FWD205A,普通,410
FWD205AB,普通,0
FWD205W,普通,0
FWD205WR,普通,500
FWD211,大客户,200
FWD211,普通,500
FWD211WR,普通,11
FWD215,大客户,100
FWD215,普通,500
FWD215WR,普通,163
FWD216B,普通,0
FWD217,大客户,0
FWD217,普通,0
FWD219,大客户,124
FWD219,普通,500
FWD219WR,普通,56
FWD2205G,普通,500
FWD221,大客户,500
FWD221,普通,600
FWD221WR,普通,200
FWD223,大客户,200
FWD223,普通,447
FWD223WR,普通,45
FWD225,大客户,229
FWD225,普通,773
FWD225WR,普通,500
FWD231,大客户,200
FWD231,普通,493
FWD231WR,普通,200
FWD235,大客户,50
FWD235,普通,500
FWD235WR,普通,100
FWD249,普通,325
FWD259,普通,0
FWD289,普通,0
FWD300,大客户,100
FWD300,普通,2000
FWD301,普通,324
FWD302,大客户,300
FWD302,普通,2000
FWD302WR,普通,54
FWD303,大客户,100
FWD303,普通,2000
FWD303WR,普通,300
FWD304W,普通,0
FWD305,普通,1000
FWD306,大客户,100
FWD306,普通,1500
FWD307,普通,1000
FWD308,普通,500
FWD3112,普通,500
FWD320,普通,1000
FWD321,普通,0
FWD322,普通,0
FWD323,大客户,50
FWD323,普通,1000
FWD325,普通,500
FWD3302,普通,150
FWD3307A,普通,500
FWD3500,普通,0
FWD3502,普通,500
FWD351,普通,500
FWD351B,普通,0
FWD353,普通,500
FWD353B,普通,0
FWD355,普通,500
FWD4002,普通,1012
FWD4002T,普通,1000
FWD400B,普通,200
FWD401,大客户,300
FWD401,普通,500
FWD4012,普通,500
FWD4012T,普通,2000
FWD4015,普通,1500
FWD402,大客户,200
FWD402,普通,500
FWD403,普通,200
FWD405B,大客户,100
FWD405B,普通,100
FWD407,普通,325
FWD408,普通,500
FWD410,大客户,100
FWD410,普通,500
FWD411,大客户,100
FWD411,普通,500
FWD416,普通,0
FWD418B,普通,289
FWD418C,普通,0
FWD419B,普通,500
FWD419C,普通,0
FWD421,普通,500
FWD421C,普通,0
FWD421D,普通,0
FWD421Y,普通,0
FWD424,普通,0
FWD425,普通,500
FWD425B,大客户,100
FWD425B,普通,200
FWD425Y,普通,0
FWD427,大客户,250
FWD427,普通,713
FWD430,普通,334
FWD435,普通,306
FWD435B,大客户,100
FWD435B,普通,430
FWD435Y,普通,0
FWD500,大客户,100
FWD500,普通,1000
FWD500WR,普通,300
FWD502,大客户,100
FWD502,普通,1000
FWD502WR,普通,400
FWD503,普通,500
FWD504,大客户,200
FWD504,普通,1000
FWD504WR,普通,500
FWD505,普通,500
FWD506,普通,0
FWD508,大客户,150
FWD508,普通,500
FWD510,普通,200
FWD520,大客户,100
FWD520,普通,500
FWD522,大客户,100
FWD522,普通,1000
FWD522WR,普通,161
FWD523,普通,0
FWD524,大客户,200
FWD524,普通,600
FWD524WR,普通,300
FWD525,大客户,100
FWD525,普通,503
FWD525WR,普通,54
FWD530,普通,709
FWD532,普通,958
FWD534,普通,500
FWD534WR,普通,0
FWD535,普通,342
FWD550,普通,0
FWD5518,普通,892
FWD5518WR,普通,200
FWD5519,普通,282
FWD5800,普通,500
FWD5800A,普通,151
FWD5801,普通,478
FWD5802,普通,559
FWD5804,大客户,100
FWD5805,普通,53
FWD5806,普通,86
FWD5810,普通,439
FWD5811,普通,500
FWD5812,普通,500
FWD5813,普通,111
FWD5815,普通,46
FWD5816,普通,93
FWD5820,普通,0
FWD5821,普通,0
FWD5822,普通,0
FWD5823,普通,0
FWD5825,普通,0
FWD5826,普通,0
FWD5840B,普通,0
FWD5841A,普通,0
FWD5842A,普通,0
FWD5844A,普通,0
FWD5856,普通,0
FWD5880,普通,526
FWD5881,普通,470
FWD600,普通,0
FWD6001,大客户,200
FWD6001,普通,1000
FWD6002,大客户,500
FWD6002,普通,2000
FWD6002A,普通,2006
FWD6002AWR,普通,300
FWD6003,大客户,1000
FWD6003T,普通,1153
FWD6003TWR,普通,150
FWD6005,大客户,800
FWD6005T,普通,831
FWD6006,普通,1439
FWD6009,普通,466
FWD6018,普通,500
FWD6018T,普通,409
FWD6163,普通,500
FWD6205,普通,500
FWD6215,普通,200
FWD6219,普通,200
FWD6224,普通,733
FWD6225,普通,34
FWD6235,普通,500
FWD6300,普通,0
FWD6300T,普通,500
FWD6303,普通,500
FWD6500A,普通,100
FWD6502A,普通,100
FWD6504,普通,200
FWD6504T,普通,300
FWD6550,普通,0
FWD6601,普通,0
FWD6601A,普通,200
FWD6602,普通,100
FWD6602E,普通,100
FWD6603,普通,300
FWD6603B,普通,200
FWD6606,普通,100
FWD6612,普通,0
FWD6653,普通,0
FWD6666,普通,2
FWD6683,普通,0
FWD6683,普通,100
FWD6810,普通,500
FWD6810A,普通,137
FWD6820,普通,300
FWD6830,普通,300
FWD6840,普通,300
FWD6850,普通,300
FWD6860,普通,165
FWD6885,普通,34
FWD6910,普通,300
FWD7235,普通,0
FWD7305,普通,2000
FWD7305T,普通,1500
FWD7305WR,普通,0
FWD7322,普通,376
FWD7322B,普通,768
FWD7331,普通,1000
FWD7351,普通,1000
FWD7352,普通,181
FWD7365,普通,300
FWD8173,普通,200
FWD8215,普通,360
FWD8216,普通,6
FWD8224,普通,200
FWD8235,普通,0
FWD8236,普通,11
FWD8439,普通,200
FWD8439,普通,200
FWD8503,普通,500
FWD8503SW,普通,0
FWD8503WR,普通,200
FWD8504,普通,0
FWD8690,普通,200
FWD8690,普通,200
FWD9220YBT,普通,300
FWD9221RGT,普通,300
FWD9222PG,普通,300
FWD9222PG,普通,300
FWD9224BO,普通,0
FWD9224BOT,普通,300
FWD9225BMT,普通,300
FWD9227GO,普通,0
FWD9227GOT,普通,300
FWD9230YB,普通,300
FWD9232MG,普通,300
FWD9234BO,普通,300
FWD9234BO,普通,343
FWD9235BV,普通,300
FWD9235BV,普通,300
FWD9237GR,普通,300
FWD9240YB,普通,300
FWD9244BO,普通,300
FWD9245BM,普通,300
FWD9247GR,普通,300
FWD9250YB,普通,0
FWD9250YBT,普通,323
FWD9251RG,普通,0
FWD9251RGT,普通,300
FWD9252PGT,普通,37
FWD9255BOT,普通,94
FWD9256BMT,普通,246
FWD9257GOT,普通,123
