order_id,month,order_date,customer_id,sku,category,qty,unit_price,total_amount,discount_pct,status,channel
ORD00001,2025-03,2025-03-14,CUST0144,FWDV060,玻璃包银系列,235,5139.2,1207712.0,0.06,已取消,直销
ORD00002,2025-01,2025-01-05,CUST0147,FWD402,着色系列,362,40.48,14653.76,0.09,已完成,直销
ORD00003,2025-06,2025-06-19,CUST0082,HM010AS,云母粉,597,21.25,12686.25,0.02,已完成,展会
ORD00004,2025-10,2025-10-01,CUST0035,BHC89230GY,着色变色龙,52,470.0,24440.0,0.13,已完成,经销商
ORD00005,2025-02,2025-02-15,CUST0115,FWDV580,玻璃包银系列,728,1244.5,905996.0,0.03,已完成,展会
ORD00006,2025-08,2025-08-18,CUST0217,BHC9326BM ,玻璃变色龙,59,26.0,1534.0,0.06,已取消,展会
ORD00007,2025-10,2025-10-18,CUST0050,FWDV060,玻璃包银系列,897,5956.8,5343249.6,0.02,已取消,直销
ORD00008,2024-10,2024-10-17,CUST0032,FWD111,银白系列,991,24.94,24715.54,0.1,已完成,展会
ORD00009,2025-03,2025-03-07,CUST0130,FWD901KSW,耐候系列,961,111.8,107439.8,0.09,处理中,经销商
ORD00010,2025-08,2025-08-14,CUST0236,FWD6163,超白系列,855,32.25,27573.75,0.11,已完成,经销商
ORD00011,2025-08,2025-08-24,CUST0172,FWD6002A,超白系列,349,36.0,12564.0,0.14,已完成,经销商
ORD00012,2025-02,2025-02-24,CUST0285,FWD302WR,耐候系列,629,93.6,58874.4,0.09,已完成,电商平台
ORD00013,2024-11,2024-11-16,CUST0095,FWD491,着色系列,637,55.2,35162.4,0.14,已取消,直销
ORD00014,2025-02,2025-02-01,CUST0256,FWD6603B,磁性珠光,721,215.0,155015.0,0.03,已取消,展会
ORD00015,2025-05,2025-05-17,CUST0125,FWD302,金色系列,262,37.5,9825.0,0.11,已完成,电商平台
ORD00016,2024-11,2024-11-10,CUST0007,FWD505,金属彩光系列,971,30.6,29712.6,0.04,已取消,电商平台
ORD00017,2025-03,2025-03-16,CUST0191,FWD5800D,钻石系列,729,102.0,74358.0,0.11,处理中,展会
ORD00018,2025-06,2025-06-02,CUST0123,FWDV080B,玻璃包银系列,526,4272.3,2247229.8,0.06,处理中,电商平台
ORD00019,2025-07,2025-07-22,CUST0105,FWD163,银白系列,538,26.25,14122.5,0.12,已取消,电商平台
ORD00020,2025-03,2025-03-20,CUST0241,FWD111WR,耐候系列,782,51.0,39882.0,0.05,已完成,电商平台
ORD00021,2025-07,2025-07-13,CUST0108,FWD120,银白系列,995,25.2,25074.0,0.1,已完成,直销
ORD00022,2025-09,2025-09-22,CUST0290,FWD6002,超白系列,638,39.0,24882.0,0.08,已完成,电商平台
ORD00023,2025-01,2025-01-08,CUST0132,FWD205M,虹彩系列,535,33.0,17655.0,0.04,已完成,线下门店
ORD00024,2025-11,2025-11-24,CUST0183,FWDD10A,钻石系列,29,101.0,2929.0,0.0,已取消,经销商
ORD00025,2025-09,2025-09-08,CUST0262,FWD101,银白系列,893,21.75,19422.75,0.13,处理中,电商平台
ORD00026,2025-01,2025-01-24,CUST0005,FWD425B,着色系列,799,56.4,45063.6,0.05,已取消,展会
ORD00027,2025-07,2025-07-03,CUST0115,FWD500,金属彩光系列,863,32.3,27874.9,0.11,已完成,直销
ORD00028,2025-08,2025-08-03,CUST0198,FWD101WR,耐候系列,192,59.4,11404.8,0.09,已完成,线下门店
ORD00029,2025-04,2025-04-04,CUST0271,BHC9233POH,化妆品系列,483,191.4,92446.2,0.09,已取消,线下门店
ORD00030,2024-10,2024-10-19,CUST0250,FWD121WR,耐候系列,935,55.2,51612.0,0.12,已完成,展会
ORD00031,2025-03,2025-03-26,CUST0010,FWD427,着色系列,827,55.8,46146.6,0.06,已完成,展会
ORD00032,2025-10,2025-10-03,CUST0292,FWDD10X,钻石系列,985,118.8,117018.0,0.03,处理中,直销
ORD00033,2024-10,2024-10-22,CUST0135,FWD119,银白系列,117,29.4,3439.8,0.03,已完成,展会
ORD00034,2025-04,2025-04-24,CUST0180,FWD6018T,超白系列,468,32.62,15268.5,0.05,已完成,经销商
ORD00035,2025-07,2025-07-26,CUST0035,FWD5800A,钻石系列,25,110.4,2760.0,0.01,已完成,经销商
ORD00036,2024-10,2024-10-02,CUST0055,FWD6910,水晶系列,648,49.5,32076.0,0.11,处理中,直销
ORD00037,2025-05,2025-05-25,CUST0271,FWD6303,水晶系列,995,75.65,75271.75,0.0,已取消,展会
ORD00038,2025-06,2025-06-02,CUST0219,FWD249,虹彩系列,428,34.88,14926.5,0.13,已完成,直销
ORD00039,2025-08,2025-08-13,CUST0034,FWD410,着色系列,296,55.2,16339.2,0.01,已取消,电商平台
ORD00040,2024-11,2024-11-11,CUST0099,BHC89234BG,着色变色龙,639,485.0,309915.0,0.14,已完成,线下门店
ORD00041,2025-04,2025-04-11,CUST0038,FWD123T,银白系列,70,31.68,2217.6,0.14,已取消,线下门店
