customer_id,customer_type,sku,category,preference_rank,avg_order_qty,order_frequency_per_year,last_order_month,price_sensitivity,reorder_rate
CUST0001,潜在,FWD413,着色系列,1,479,13.2,2025-09,中,0.75
CUST0001,潜在,FWD205,虹彩系列,2,56,16.3,2025-05,中,0.78
CUST0001,潜在,FWD151,银白系列,3,189,20.3,2025-02,中,0.82
CUST0001,潜在,FWD121WR,耐候系列,4,458,1.5,2025-10,高,0.42
CUST0001,潜在,FWD435B,着色系列,5,223,11.8,2025-03,低,0.57
CUST0001,潜在,BHC9338GR,玻璃变色龙,6,110,9.2,2025-02,低,0.77
CUST0001,潜在,FWD223,虹彩系列,7,361,1.9,2025-04,中,0.41
CUST0001,潜在,FWD506,金属彩光系列,8,464,13.6,2024-11,中,0.39
CUST0001,潜在,FWD6300T,水晶系列,9,129,4.3,2025-08,高,0.94
CUST0001,潜在,FWD6003T,超白系列,10,106,18.9,2025-01,低,0.87
CUST0001,潜在,FWD7322,其他,11,162,8.0,2025-08,中,0.9
CUST0002,普通,FWD6602E,磁性珠光,1,296,10.3,2025-06,中,0.74
CUST0002,普通,FWD522,金属彩光系列,2,415,9.3,2025-09,中,0.8
CUST0002,普通,FWD5519,金属彩光系列,3,326,7.4,2025-04,中,0.33
CUST0002,普通,FWD6002AWR,耐候系列,4,434,23.9,2025-05,低,0.45
CUST0002,普通,FWD8503WR,耐候系列,5,28,23.6,2025-05,中,0.66
CUST0002,普通,BHC9230YBH,化妆品系列,6,418,19.1,2025-10,高,0.89
CUST0002,普通,FWD101WR,耐候系列,7,315,21.5,2025-05,中,0.66
CUST0003,普通,FWD6504A,水晶系列,1,494,7.5,2025-05,高,0.91
CUST0003,普通,FWD110,银白系列,2,350,8.9,2025-05,中,0.54
CUST0003,普通,FWD119,银白系列,3,289,13.6,2025-09,中,0.55
CUST0003,普通,FWD101,银白系列,4,240,3.6,2025-03,低,0.6
CUST0003,普通,FWD5800A,钻石系列,5,299,8.5,2024-11,低,0.4
CUST0003,普通,FWD211WR,耐候系列,6,349,4.5,2025-02,高,0.76
CUST0003,普通,BHC9237GRH,化妆品系列,7,252,3.2,2025-07,高,0.91
CUST0003,普通,FWD6602,磁性珠光,8,368,22.1,2024-11,中,0.94
CUST0003,普通,FWD215,虹彩系列,9,411,9.0,2024-12,中,0.73
CUST0004,大客户,FWD306,金色系列,1,411,21.2,2025-10,中,0.78
CUST0004,大客户,FWD522,金属彩光系列,2,138,10.7,2024-10,高,0.74
CUST0004,大客户,FWD509,金属彩光系列,3,261,3.5,2024-10,高,0.56
CUST0004,大客户,FWD6300T,水晶系列,4,227,10.3,2025-03,低,0.86
CUST0004,大客户,FWDV040B,玻璃包银系列,5,14,13.4,2025-03,低,0.51
CUST0004,大客户,FWD7504,其他,6,275,4.8,2025-05,高,0.76
CUST0004,大客户,FWD5518WR,耐候系列,7,444,15.7,2025-04,低,0.6
CUST0005,大客户,FWD3504,金属彩光系列,1,260,14.7,2025-10,低,0.46
CUST0005,大客户,FWD504WR,耐候系列,2,248,4.2,2025-10,中,0.56
CUST0005,大客户,FWD301,金色系列,3,222,12.7,2025-04,中,0.51
CUST0005,大客户,FWDD27M,钻石系列,4,230,17.6,2025-03,高,0.87
CUST0005,大客户,FWD5871C,钻石系列,5,432,4.8,2025-05,低,0.42
CUST0005,大客户,FWD403,着色系列,6,418,17.6,2025-11,中,0.67
CUST0005,大客户,FWD6602,磁性珠光,7,111,22.3,2025-01,高,0.52
CUST0006,普通,FWD552,金属彩光系列,1,181,13.2,2025-03,低,0.71
CUST0006,普通,FWDV095,玻璃包银系列,2,379,2.1,2024-12,高,0.63
CUST0006,普通,FWD152WR,耐候系列,3,82,1.0,2025-10,高,0.8
CUST0006,普通,BHC89233BR,着色变色龙,4,297,13.2,2025-02,中,0.71
CUST0006,普通,FWD5519,金属彩光系列,5,383,12.0,2025-08,中,0.33
CUST0006,普通,FWD7331,其他,6,259,12.3,2025-02,高,0.76
CUST0006,普通,FWD413,着色系列,7,460,13.5,2025-09,低,0.86
CUST0006,普通,FWD235,虹彩系列,8,461,8.0,2025-08,中,0.77
CUST0006,普通,FWD5872A,钻石系列,9,378,8.7,2025-08,高,0.46
CUST0006,普通,FWD201WR,耐候系列,10,166,1.9,2025-01,中,0.75
CUST0006,普通,FWD304,金色系列,11,138,8.9,2024-10,中,0.89
CUST0007,大客户,BHC89234BG,着色变色龙,1,147,8.4,2025-10,低,0.47
CUST0007,大客户,FWD151WR,耐候系列,2,383,21.3,2025-10,中,0.67
CUST0007,大客户,BHC9232MGH,化妆品系列,3,327,17.5,2025-04,低,0.76
CUST0007,大客户,FWD500,金属彩光系列,4,433,22.4,2024-10,低,0.85
CUST0007,大客户,FWD6910,水晶系列,5,232,10.5,2025-04,高,0.52
CUST0007,大客户,FWD6225,水晶系列,6,136,5.7,2025-02,中,0.31
CUST0008,大客户,FWDV155,玻璃包银系列,1,263,22.8,2025-09,高,0.61
CUST0008,大客户,FWD362,金色系列,2,399,22.6,2025-06,低,0.94
CUST0008,大客户,FWD6601,磁性珠光,3,65,18.7,2025-01,高,0.68
CUST0010,普通,FWD259,虹彩系列,1,118,4.7,2024-12,低,0.49
CUST0010,普通,FWD304,金色系列,2,326,2.9,2025-11,高,0.6
CUST0010,普通,FWD6018,超白系列,3,298,9.5,2025-01,低,0.86
CUST0010,普通,FWD403,着色系列,4,178,14.9,2025-07,低,0.47
CUST0010,普通,FWDD10X,钻石系列,5,340,19.9,2025-10,低,0.44
CUST0010,普通,FWD6002A,超白系列,6,427,7.6,2025-10,中,0.94
CUST0010,普通,BHC9328GR,玻璃变色龙,7,207,2.7,2025-03,中,0.42
CUST0010,普通,FWD6500A,水晶系列,8,216,5.0,2025-08,高,0.55
CUST0010,普通,FWD205,虹彩系列,9,103,11.5,2025-07,高,0.51
CUST0010,普通,FWD7351,其他,10,194,15.3,2024-11,中,0.74
CUST0010,普通,FWD301,金色系列,11,407,12.4,2024-11,低,0.56
CUST0010,普通,FWD231WR,耐候系列,12,11,20.2,2024-12,中,0.79
CUST0011,潜在,FWD101,银白系列,1,348,4.6,2025-01,低,0.41
CUST0011,潜在,FWDV040,玻璃包银系列,2,292,1.6,2025-04,中,0.46
CUST0011,潜在,FWD6500A,水晶系列,3,361,20.5,2024-10,低,0.53
CUST0011,潜在,FWD303,金色系列,4,121,13.0,2025-02,低,0.56
CUST0011,潜在,FWD6003T,超白系列,5,420,16.3,2025-04,中,0.63
CUST0011,潜在,FWD6235,水晶系列,6,420,17.4,2025-04,高,0.67
CUST0011,潜在,FWD509,金属彩光系列,7,41,6.6,2024-10,高,0.48
CUST0011,潜在,FWD408,着色系列,8,333,6.5,2024-12,高,0.95
CUST0012,潜在,FWD302WR,耐候系列,1,154,18.2,2025-04,低,0.44
CUST0012,潜在,FWD430,着色系列,2,477,17.3,2025-04,低,0.64
CUST0012,潜在,FWD5893,钻石系列,3,176,22.8,2025-11,低,0.5
CUST0012,潜在,FWD500,金属彩光系列,4,98,3.4,2025-01,低,0.55
CUST0012,潜在,FWD525,金属彩光系列,5,112,23.2,2025-04,低,0.82
CUST0012,潜在,FWD505,金属彩光系列,6,412,15.9,2024-12,低,0.69
CUST0012,潜在,FWD249,虹彩系列,7,317,11.1,2025-11,低,0.5
CUST0013,普通,FWD6300T,水晶系列,1,374,11.3,2025-10,低,0.8
CUST0013,普通,FWD552,金属彩光系列,2,285,9.7,2024-10,低,0.72
CUST0013,普通,FWD2205G,虹彩系列,3,285,10.7,2024-12,中,0.62
CUST0013,普通,FWD6601,磁性珠光,4,329,22.7,2025-03,中,0.48
