month,carrier,destination,total_shipments,on_time_count,on_time_rate,avg_delay_days,damage_rate,avg_cost_rmb,customer_rating
2024-10,顺丰,武汉,264,246,0.9318,1.37,0.01,1338.91,4.9
2024-10,顺丰,南京,228,180,0.7895,2.04,0.01,1221.53,4.2
2024-10,顺丰,上海,197,183,0.9289,1.89,0.01,1197.17,3.8
2024-10,顺丰,深圳,270,227,0.8407,3.0,0.02,424.06,4.4
2024-10,顺丰,Los Angeles,179,147,0.8212,0.66,0.02,155.46,4.2
2024-10,顺丰,西安,220,178,0.8091,2.68,0.01,557.82,5.0
2024-10,顺丰,Tokyo,118,112,0.9492,1.29,0.01,305.22,4.8
2024-11,顺丰,深圳,54,48,0.8889,0.74,0.01,406.32,4.3
2024-11,顺丰,Los Angeles,174,171,0.9828,2.14,0.0,281.42,4.1
2024-11,顺丰,上海,66,53,0.803,0.99,0.01,1369.78,3.8
2024-11,顺丰,Singapore,109,94,0.8624,2.29,0.01,293.64,3.9
2024-11,顺丰,广州,56,55,0.9821,2.27,0.01,798.68,4.8
2024-11,顺丰,成都,243,226,0.93,1.11,0.01,1041.43,3.6
2024-12,顺丰,成都,216,177,0.8194,2.97,0.01,648.84,4.4
2024-12,顺丰,Los Angeles,199,189,0.9497,2.15,0.01,1221.99,3.9
2024-12,顺丰,西安,204,155,0.7598,2.95,0.01,885.04,4.3
2024-12,顺丰,Singapore,138,137,0.9928,1.23,0.02,881.51,4.5
2024-12,顺丰,Seoul,174,155,0.8908,1.45,0.01,208.85,5.0
2024-12,顺丰,北京,120,97,0.8083,2.47,0.01,743.66,4.1
2025-01,顺丰,Los Angeles,106,84,0.7925,2.44,0.02,1419.19,3.8
2025-01,顺丰,广州,123,101,0.8211,0.69,0.01,340.16,3.7
2025-01,顺丰,重庆,88,78,0.8864,2.97,0.02,235.73,4.7
2025-02,顺丰,Seoul,26,21,0.8077,0.59,0.01,1427.75,4.9
2025-02,顺丰,Tokyo,52,50,0.9615,0.11,0.01,1087.46,5.0
2025-02,顺丰,成都,58,48,0.8276,2.79,0.01,1156.71,5.0
2025-02,顺丰,武汉,74,61,0.8243,1.89,0.02,682.77,4.4
2025-02,顺丰,Singapore,74,57,0.7703,1.69,0.01,1135.95,4.6
2025-02,顺丰,北京,87,77,0.8851,0.31,0.0,175.12,3.6
2025-03,顺丰,Los Angeles,31,26,0.8387,0.94,0.0,277.62,4.6
2025-03,顺丰,Tokyo,115,106,0.9217,0.19,0.02,234.64,4.3
2025-03,顺丰,成都,203,154,0.7586,1.14,0.02,1212.45,4.2
2025-03,顺丰,武汉,152,119,0.7829,1.59,0.02,1114.31,5.0
2025-03,顺丰,西安,72,56,0.7778,2.23,0.0,1400.48,4.4
2025-03,顺丰,杭州,288,282,0.9792,2.01,0.01,689.01,3.5
2025-03,顺丰,深圳,171,147,0.8596,2.17,0.0,1485.18,4.4
2025-04,顺丰,Singapore,292,286,0.9795,2.57,0.0,1352.33,4.2
2025-04,顺丰,西安,206,200,0.9709,2.72,0.0,545.52,4.7
2025-04,顺丰,深圳,57,45,0.7895,1.39,0.0,751.82,3.7
2025-04,顺丰,重庆,80,73,0.9125,0.81,0.01,834.68,4.1
2025-05,顺丰,成都,272,215,0.7904,0.58,0.01,582.32,3.8
2025-05,顺丰,上海,257,211,0.821,1.5,0.01,360.5,4.1
2025-05,顺丰,北京,112,110,0.9821,1.69,0.01,325.65,4.9
2025-05,顺丰,重庆,35,28,0.8,1.11,0.0,761.16,5.0
2025-05,顺丰,Tokyo,32,25,0.7812,0.37,0.01,1472.97,4.5
2025-05,顺丰,广州,35,34,0.9714,0.88,0.0,603.67,4.1
2025-06,顺丰,成都,256,223,0.8711,2.51,0.01,1201.91,4.4
2025-06,顺丰,武汉,187,166,0.8877,0.98,0.0,649.44,4.9
2025-06,顺丰,北京,295,260,0.8814,0.87,0.01,710.83,4.5
2025-06,顺丰,Seoul,21,17,0.8095,0.18,0.02,711.7,3.6
2025-06,顺丰,杭州,64,49,0.7656,1.78,0.01,851.12,4.9
2025-06,顺丰,Los Angeles,169,149,0.8817,1.72,0.01,912.28,4.5
2025-07,顺丰,南京,194,151,0.7784,1.47,0.02,1275.87,4.5
2025-07,顺丰,Seoul,110,102,0.9273,1.17,0.01,865.61,3.9
2025-07,顺丰,北京,21,16,0.7619,1.79,0.02,215.08,4.9
2025-07,顺丰,杭州,95,85,0.8947,1.04,0.01,1472.53,4.9
2025-07,顺丰,重庆,49,47,0.9592,1.55,0.0,972.04,4.6
2025-07,顺丰,成都,163,130,0.7975,1.88,0.01,323.91,4.7
2025-08,顺丰,成都,89,79,0.8876,1.6,0.0,1385.05,4.7
2025-08,顺丰,杭州,214,163,0.7617,2.28,0.01,1120.73,4.4
2025-08,顺丰,上海,35,27,0.7714,1.81,0.01,1457.97,3.8
2025-08,顺丰,深圳,27,26,0.963,1.81,0.01,593.76,4.0
2025-09,顺丰,重庆,221,208,0.9412,2.51,0.01,1190.43,3.6
2025-09,顺丰,南京,90,69,0.7667,1.59,0.02,977.91,4.8
2025-09,顺丰,Frankfurt,138,126,0.913,1.24,0.0,1405.49,4.2
2025-09,顺丰,西安,266,258,0.9699,0.84,0.01,365.51,3.6
2025-09,顺丰,广州,253,200,0.7905,2.54,0.02,273.54,4.2
2025-09,顺丰,Seoul,103,99,0.9612,0.04,0.01,185.99,4.8
2025-09,顺丰,深圳,161,132,0.8199,2.39,0.01,758.19,4.9
2025-10,顺丰,Frankfurt,152,116,0.7632,1.45,0.01,1333.46,4.3
2025-10,顺丰,Singapore,87,74,0.8506,2.41,0.01,1490.29,3.9
2025-10,顺丰,西安,41,34,0.8293,1.22,0.01,1318.09,4.7
2025-10,顺丰,杭州,29,29,1.0,0.81,0.0,184.18,4.6
2025-11,顺丰,深圳,49,40,0.8163,2.06,0.02,1198.27,3.8
