month,warehouse,carrier,destination,shipment_count,total_weight_kg,total_cost_rmb,cost_per_kg,fuel_surcharge_rmb
2024-10,上海仓,顺丰,武汉,42,9.33,786.83,26.31,168.69
2024-10,上海仓,顺丰,上海,38,13.16,855.4,18.35,76.03
2024-11,上海仓,顺丰,成都,14,4.07,2185.59,21.98,64.52
2024-11,上海仓,顺丰,重庆,41,6.16,837.76,23.11,127.41
2024-11,上海仓,顺丰,深圳,21,25.4,3740.15,17.45,114.6
2024-11,上海仓,顺丰,北京,13,9.33,3853.29,27.17,100.8
2024-11,上海仓,顺丰,武汉,25,3.16,1207.12,15.54,79.84
2024-12,上海仓,顺丰,南京,42,6.12,410.04,28.06,120.47
2024-12,上海仓,顺丰,Singapore,45,5.46,1105.65,16.23,71.88
2025-01,上海仓,顺丰,Tokyo,50,25.62,5337.5,21.03,177.58
2025-01,上海仓,顺丰,Los Angeles,35,7.69,7574.65,3.63,106.2
2025-01,上海仓,顺丰,Singapore,30,6.36,1917.54,10.36,14.52
2025-02,上海仓,顺丰,Los Angeles,15,27.9,1915.8,15.93,71.15
2025-02,上海仓,顺丰,广州,24,24.92,4977.77,24.63,178.76
2025-02,上海仓,顺丰,Seoul,40,25.41,8419.18,29.75,97.32
2025-03,上海仓,顺丰,Tokyo,5,26.43,7673.51,6.41,60.85
2025-03,上海仓,顺丰,北京,34,8.52,3706.2,2.34,20.12
2025-03,上海仓,顺丰,上海,10,33.96,7292.91,23.22,49.21
2025-04,上海仓,顺丰,深圳,12,8.42,1860.82,24.31,80.71
2025-04,上海仓,顺丰,重庆,18,13.56,1579.74,14.36,174.71
2025-04,上海仓,顺丰,Frankfurt,49,12.24,2157.3,2.79,90.75
2025-05,上海仓,顺丰,重庆,17,8.1,680.4,13.51,102.35
2025-05,上海仓,顺丰,Los Angeles,30,2.76,1235.1,24.21,171.66
2025-05,上海仓,顺丰,杭州,12,9.54,2747.52,9.43,142.06
2025-05,上海仓,顺丰,Frankfurt,16,4.84,1466.52,21.08,127.46
2025-05,上海仓,顺丰,Tokyo,5,16.44,2898.92,6.35,199.69
2025-06,上海仓,顺丰,重庆,43,6.92,6144.96,12.9,109.6
2025-06,上海仓,顺丰,Los Angeles,28,28.29,1650.25,16.66,190.83
2025-07,上海仓,顺丰,Seoul,30,8.03,891.33,21.36,148.28
2025-07,上海仓,顺丰,广州,36,14.44,1696.7,22.12,17.12
2025-07,上海仓,顺丰,Frankfurt,16,6.63,2791.23,29.91,97.88
2025-07,上海仓,顺丰,Singapore,18,19.59,2409.57,27.63,129.9
2025-08,上海仓,顺丰,成都,49,24.4,4922.7,21.47,93.82
2025-08,上海仓,顺丰,重庆,14,14.68,5145.34,5.78,92.21
2025-09,上海仓,顺丰,重庆,46,11.26,737.53,17.63,18.91
2025-09,上海仓,顺丰,成都,10,5.94,5874.66,26.51,118.25
2025-09,上海仓,顺丰,Tokyo,21,26.48,5779.26,21.25,45.54
2025-09,上海仓,顺丰,Frankfurt,9,34.76,5066.27,24.73,65.71
2025-10,上海仓,顺丰,北京,32,5.84,665.76,21.88,177.31
2025-10,上海仓,顺丰,杭州,12,12.28,1280.19,7.67,60.44
2025-11,上海仓,顺丰,Frankfurt,47,5.88,1775.76,7.09,28.69
2025-11,上海仓,顺丰,重庆,30,19.96,7784.4,18.6,133.71
2024-10,上海仓,德邦,成都,13,2.67,838.38,29.82,47.22
2024-10,上海仓,德邦,广州,32,23.67,1672.68,14.89,151.9
2024-10,上海仓,德邦,Singapore,42,13.76,526.32,6.95,23.98
2024-11,上海仓,德邦,Frankfurt,17,14.61,2089.23,6.72,162.85
2024-11,上海仓,德邦,南京,6,13.15,2180.27,5.25,58.13
