return_id,shipment_id,month,sku,category,return_qty,return_reason,return_date,refund_amount,restockable,carrier
RET00001,SHP01674,2025-08,FWDD29X,钻石系列,59,运输损坏,2025-09-01,20650.0,False,DHL
RET00002,SHP01514,2025-05,FWD249,虹彩系列,88,质量问题,2025-05-12,3300.0,False,德邦
RET00003,SHP00113,2024-10,FWD6910,水晶系列,1396,质量问题,2024-10-23,76780.0,False,中外运
RET00004,SHP01594,2025-08,BHC9326BM ,玻璃变色龙,1213,发货错误,2025-08-17,30325.0,True,DHL
RET00005,SHP03245,2024-11,FWD4012,着色系列,133,发货错误,2024-11-09,5852.0,True,京东物流
RET00006,SHP02696,2024-11,FWD3500,金属彩光系列,1380,发货错误,2024-11-25,46920.0,True,FedEx
RET00007,SHP02618,2025-01,FWD7352,其他,401,运输损坏,2025-01-14,24060.0,False,FedEx
RET00008,SHP00482,2024-11,FWD5874A,钻石系列,32,运输损坏,2024-11-28,8960.0,False,DHL
RET00009,SHP01336,2025-07,BHC9323PG,玻璃变色龙,391,发货错误,2025-08-02,195500.0,True,京东物流
RET00010,SHP01960,2025-06,FWD351WR,耐候系列,1377,质量问题,2025-06-15,123930.0,False,京东物流
RET00011,SHP03468,2025-11,FWDD23X,钻石系列,555,规格不符,2025-11-26,138750.0,True,顺丰
RET00012,SHP03016,2025-03,FWD211,虹彩系列,197,客户取消,2025-03-26,7387.5,True,德邦
RET00013,SHP02811,2025-09,FWD6820,水晶系列,809,客户取消,2025-09-10,68765.0,True,DHL
RET00014,SHP03175,2025-05,BHC9227GOH,化妆品系列,380,规格不符,2025-05-28,83600.0,True,顺丰
RET00015,SHP01607,2025-06,FWD122,银白系列,461,质量问题,2025-06-22,13830.0,False,FedEx
RET00016,SHP02323,2024-12,FWD249,虹彩系列,578,运输损坏,2024-12-17,21675.0,False,中外运
RET00017,SHP01478,2025-07,FWD103TWR,耐候系列,1010,运输损坏,2025-07-23,60600.0,False,德邦
RET00018,SHP01885,2025-07,FWD6603,磁性珠光,241,发货错误,2025-07-22,60250.0,True,FedEx
RET00019,SHP00666,2025-05,FWDD25X,钻石系列,1227,客户取消,2025-05-08,306750.0,True,德邦
RET00020,SHP01989,2025-08,FWD205A,虹彩系列,48,客户取消,2025-08-30,1800.0,True,DHL
RET00021,SHP01953,2025-06,FWD421,着色系列,192,运输损坏,2025-06-22,11520.0,False,德邦
RET00022,SHP01968,2025-03,FWD6603,磁性珠光,844,质量问题,2025-03-18,211000.0,False,DHL
RET00023,SHP00935,2024-10,FWD6504T,水晶系列,22,发货错误,2024-10-14,1870.0,True,京东物流
RET00024,SHP00230,2025-02,FWD6300T,水晶系列,231,运输损坏,2025-02-16,19635.0,False,中外运
RET00025,SHP02785,2025-08,FWD223,虹彩系列,294,规格不符,2025-08-12,11025.0,True,顺丰
RET00026,SHP00197,2025-09,FWD201WR,耐候系列,1022,规格不符,2025-09-24,91980.0,True,FedEx
RET00027,SHP01146,2024-11,FWD306,金色系列,413,质量问题,2024-11-16,15487.5,False,顺丰
RET00028,SHP00722,2025-10,FWDV580,玻璃包银系列,895,发货错误,2025-10-17,1172450.0,True,FedEx
RET00029,SHP01629,2024-10,HM010AS,云母粉,1130,运输损坏,2024-11-09,28250.0,False,京东物流
RET00030,SHP03020,2025-03,FWDD23L,钻石系列,893,规格不符,2025-04-07,250040.0,True,京东物流
RET00031,SHP00023,2025-06,FWD302WR,耐候系列,973,客户取消,2025-06-14,87570.0,True,顺丰
RET00032,SHP00438,2024-12,FWDD23L,钻石系列,363,发货错误,2024-12-16,101640.0,True,FedEx
RET00033,SHP01364,2025-06,FWD302WR,耐候系列,12,发货错误,2025-07-02,1080.0,True,德邦
RET00034,SHP00703,2025-05,HC010AS,云母粉,10,质量问题,2025-05-29,250.0,False,德邦
RET00035,SHP00697,2025-07,FWD304,金色系列,10,发货错误,2025-07-09,375.0,True,DHL
RET00036,SHP02394,2025-01,FWD416,着色系列,18,客户取消,2025-02-03,1080.0,True,中外运
RET00037,SHP02635,2025-09,BHC89234BG,着色变色龙,109,规格不符,2025-09-18,54500.0,True,DHL
RET00038,SHP02963,2025-09,BHC9321RY,玻璃变色龙,251,运输损坏,2025-09-14,125500.0,False,京东物流
RET00039,SHP00459,2025-01,FWD308,金色系列,247,运输损坏,2025-01-13,9262.5,False,顺丰
RET00040,SHP00882,2025-03,FWD402,着色系列,1541,客户取消,2025-03-16,67804.0,True,京东物流
RET00041,SHP02233,2025-04,FWDV095B,玻璃包银系列,388,发货错误,2025-04-26,690640.0,True,中外运
RET00042,SHP00919,2025-01,FWD101,银白系列,65,客户取消,2025-02-03,1625.0,True,FedEx
RET00043,SHP00215,2025-05,FWD5519WR,耐候系列,19,质量问题,2025-06-06,2280.0,False,FedEx
RET00044,SHP01361,2025-04,FWD418B,着色系列,110,运输损坏,2025-04-20,6600.0,False,顺丰
RET00045,SHP00464,2025-08,FWD4002,着色系列,150,质量问题,2025-08-16,6600.0,False,DHL
RET00046,SHP00737,2025-04,FWD6018,超白系列,345,规格不符,2025-05-01,12937.5,True,京东物流
RET00047,SHP03111,2024-12,BHC89233BR,着色变色龙,962,客户取消,2024-12-24,481000.0,True,中外运
RET00048,SHP03366,2025-11,FWD402,着色系列,54,运输损坏,2025-11-05,2376.0,False,顺丰
RET00049,SHP01532,2025-04,FWD121WR,耐候系列,234,规格不符,2025-04-29,14040.0,True,德邦
RET00050,SHP02004,2025-08,BHC9227GOH,化妆品系列,490,客户取消,2025-08-26,107800.0,True,FedEx
RET00051,SHP02981,2025-06,FWD5870A,钻石系列,45,客户取消,2025-06-15,8100.0,True,中外运
RET00052,SHP03378,2025-06,FWD6885,水晶系列,11,客户取消,2025-06-11,605.0,True,德邦
RET00053,SHP01768,2025-04,FWDV150B,玻璃包银系列,1789,客户取消,2025-04-14,3971580.0,True,DHL
RET00054,SHP03125,2025-10,FWD6300T,水晶系列,18,质量问题,2025-11-10,1530.0,False,FedEx
RET00055,SHP00442,2025-05,FWD221WR,耐候系列,1439,质量问题,2025-06-08,129510.0,False,顺丰
RET00056,SHP00225,2025-05,FWD6820,水晶系列,1341,质量问题,2025-05-20,113985.0,False,DHL
RET00057,SHP02669,2025-03,FWD6300T,水晶系列,1520,质量问题,2025-04-03,129200.0,False,德邦
RET00058,SHP03129,2025-03,FWD6005,超白系列,800,发货错误,2025-03-20,33600.0,True,FedEx
RET00059,SHP01699,2025-05,BHC9227GOH,化妆品系列,1071,质量问题,2025-05-17,235620.0,False,德邦
RET00060,SHP01138,2024-11,FWD400B,着色系列,5,发货错误,2024-11-20,220.0,True,德邦
RET00061,SHP03301,2025-11,FWD6881,水晶系列,374,客户取消,2025-11-20,20570.0,True,中外运
RET00062,SHP02361,2024-10,FWD3302,金色系列,197,规格不符,2024-10-27,7387.5,True,京东物流
RET00063,SHP02755,2025-08,FWD411,着色系列,498,客户取消,2025-08-30,29880.0,True,顺丰
RET00064,SHP03269,2024-12,FWD6501,水晶系列,604,发货错误,2024-12-25,33220.0,True,德邦
RET00065,SHP02407,2025-11,FWD323WR,耐候系列,1053,质量问题,2025-11-26,94770.0,False,顺丰
RET00066,SHP01202,2025-05,FWD502WR,耐候系列,1363,质量问题,2025-05-10,122670.0,False,中外运
RET00067,SHP02974,2025-07,FWD502WR,耐候系列,253,发货错误,2025-07-27,22770.0,True,京东物流
RET00068,SHP00186,2025-04,FWD425,着色系列,195,发货错误,2025-04-05,11700.0,True,德邦
RET00069,SHP01195,2025-02,BHC89235G,着色变色龙,1275,运输损坏,2025-02-28,637500.0,False,FedEx
RET00070,SHP02887,2025-10,FWD299,虹彩系列,159,质量问题,2025-10-13,5962.5,False,德邦
RET00071,SHP00736,2025-08,FWD418B,着色系列,206,客户取消,2025-08-27,12360.0,True,DHL
RET00072,SHP00525,2024-10,FWDD25X,钻石系列,433,规格不符,2024-10-05,108250.0,True,DHL
RET00073,SHP00952,2025-06,BHC9337GP,玻璃变色龙,204,客户取消,2025-07-07,102000.0,True,中外运
RET00074,SHP01915,2025-10,FWDV580,玻璃包银系列,1860,运输损坏,2025-11-05,2436600.0,False,京东物流
RET00075,SHP02241,2025-06,FWDD29X,钻石系列,1375,客户取消,2025-06-24,481250.0,True,DHL
RET00076,SHP00603,2025-10,FWD5870D,钻石系列,7,客户取消,2025-11-05,1260.0,True,FedEx
RET00077,SHP02290,2025-08,FWD152,银白系列,50,发货错误,2025-09-01,1350.0,True,顺丰
RET00078,SHP03392,2024-10,FWD5893,钻石系列,67,客户取消,2024-10-13,16750.0,True,FedEx
RET00079,SHP02968,2025-06,FWD3502,金属彩光系列,567,规格不符,2025-06-20,19278.0,True,京东物流
RET00080,SHP02454,2024-12,FWD6502,水晶系列,599,规格不符,2024-12-25,32945.0,True,DHL
RET00081,SHP02424,2024-10,FWD001,其他,1098,质量问题,2024-10-11,115290.0,False,顺丰
RET00082,SHP01496,2025-09,FWD418B,着色系列,526,发货错误,2025-09-29,31560.0,True,京东物流
RET00083,SHP00967,2025-05,FWDD27X,钻石系列,9,质量问题,2025-05-29,2250.0,False,DHL
RET00084,SHP02675,2025-01,FWD5870B,钻石系列,1,质量问题,2025-01-08,180.0,False,FedEx
RET00085,SHP00129,2024-10,FWD6601A,磁性珠光,594,客户取消,2024-10-22,89100.0,True,FedEx
RET00086,SHP02985,2025-01,FWD4002,着色系列,254,运输损坏,2025-02-03,11176.0,False,FedEx
RET00087,SHP01906,2025-05,BHC89234BG,着色变色龙,144,规格不符,2025-05-13,72000.0,True,FedEx
RET00088,SHP02751,2025-03,FWDV040,玻璃包银系列,583,规格不符,2025-03-04,4107235.0,True,中外运
RET00089,SHP00553,2025-02,FWD400B,着色系列,754,规格不符,2025-02-14,33176.0,True,顺丰
RET00090,SHP01015,2025-11,FWD5800D,钻石系列,21,规格不符,2025-11-23,2520.0,True,中外运
RET00091,SHP00647,2025-08,FWD405B,着色系列,914,规格不符,2025-09-05,40216.0,True,DHL
RET00092,SHP02330,2025-04,FWD123T,银白系列,595,质量问题,2025-04-12,19635.0,False,中外运
RET00093,SHP03216,2025-03,FWDV550,玻璃包银系列,117,质量问题,2025-03-27,153270.0,False,FedEx
RET00094,SHP02419,2025-07,FWD3504,金属彩光系列,295,质量问题,2025-08-02,10030.0,False,DHL
RET00095,SHP01047,2025-04,FWD508WR,耐候系列,17,发货错误,2025-04-29,1530.0,True,中外运
RET00096,SHP03042,2025-11,FWD5518,金属彩光系列,453,运输损坏,2025-11-22,27180.0,False,DHL
RET00097,SHP02316,2024-12,FWD503,金属彩光系列,517,发货错误,2024-12-26,17578.0,True,中外运
RET00098,SHP02818,2025-09,FWD6002T,超白系列,11,发货错误,2025-09-25,412.5,True,京东物流
RET00099,SHP01162,2024-10,FWD224,虹彩系列,728,客户取消,2024-10-16,27300.0,True,DHL
RET00100,SHP02774,2024-12,FWD6883,水晶系列,316,客户取消,2024-12-24,17380.0,True,中外运
RET00101,SHP01104,2025-03,FWD205WR,耐候系列,1136,运输损坏,2025-04-06,102240.0,False,中外运
RET00102,SHP00677,2025-07,FWD6502A,水晶系列,255,运输损坏,2025-07-26,14025.0,False,FedEx
RET00103,SHP00378,2025-03,FWD6005,超白系列,1763,运输损坏,2025-04-10,74046.0,False,顺丰
RET00104,SHP02273,2025-05,FWD303WR,耐候系列,1305,发货错误,2025-05-28,117450.0,True,DHL
RET00105,SHP01677,2025-07,FWD402,着色系列,115,运输损坏,2025-07-26,5060.0,False,德邦
RET00106,SHP02404,2025-02,FWD215WR,耐候系列,607,规格不符,2025-02-28,54630.0,True,顺丰
RET00107,SHP02594,2024-10,FWD323WR,耐候系列,465,发货错误,2024-10-29,41850.0,True,德邦
RET00108,SHP02112,2025-04,FWD411,着色系列,564,规格不符,2025-04-29,33840.0,True,DHL
RET00109,SHP01103,2025-09,BHC9325BR,玻璃变色龙,14,发货错误,2025-09-09,7000.0,True,顺丰
RET00110,SHP01590,2025-11,FWD505,金属彩光系列,19,客户取消,2025-11-15,646.0,True,FedEx
RET00111,SHP03290,2025-07,FWD8503WR,耐候系列,985,客户取消,2025-07-17,177300.0,True,中外运
RET00112,SHP00637,2025-04,FWD6910,水晶系列,862,客户取消,2025-05-01,47410.0,True,德邦
RET00113,SHP03201,2025-07,FWD5892,钻石系列,391,发货错误,2025-07-30,97750.0,True,FedEx
RET00114,SHP01264,2025-01,BHC9275BOH,化妆品系列,486,规格不符,2025-01-14,106920.0,True,京东物流
RET00115,SHP02172,2025-11,BHC9237GRH,化妆品系列,714,客户取消,2025-11-13,157080.0,True,DHL
RET00116,SHP03470,2025-06,FWD308,金色系列,1621,运输损坏,2025-07-03,60787.5,False,德邦
RET00117,SHP03040,2025-02,FWD410,着色系列,1281,质量问题,2025-03-05,76860.0,False,FedEx
RET00118,SHP00180,2024-12,FWD6018,超白系列,565,运输损坏,2025-01-01,21187.5,False,中外运
RET00119,SHP00643,2024-12,FWD301,金色系列,882,运输损坏,2025-01-06,33075.0,False,中外运
RET00120,SHP02900,2025-04,BHC89237BG,着色变色龙,58,规格不符,2025-04-25,29000.0,True,德邦
RET00121,SHP00163,2025-09,FWD901KSW,耐候系列,451,客户取消,2025-09-29,58630.0,True,中外运
RET00122,SHP02360,2025-05,FWD123T,银白系列,207,发货错误,2025-05-18,6831.0,True,顺丰
RET00123,SHP02715,2025-08,FWD7305WR,耐候系列,313,规格不符,2025-08-25,37560.0,True,DHL
RET00124,SHP00278,2025-01,FWD235WR,耐候系列,361,质量问题,2025-01-10,32490.0,False,京东物流
RET00125,SHP00717,2025-05,FWD6885,水晶系列,678,规格不符,2025-05-21,37290.0,True,顺丰
RET00126,SHP00813,2024-10,FWD435B,着色系列,1047,客户取消,2024-10-19,62820.0,True,京东物流
RET00127,SHP02776,2025-05,FWDD29L,钻石系列,162,质量问题,2025-05-30,56700.0,False,中外运
RET00128,SHP02282,2025-09,FWD522,金属彩光系列,527,客户取消,2025-09-23,17918.0,True,DHL
RET00129,SHP02844,2025-09,BHC9230YBH,化妆品系列,191,客户取消,2025-09-19,42020.0,True,顺丰
RET00130,SHP01504,2024-10,FWDD25M,钻石系列,258,客户取消,2024-10-24,72240.0,True,京东物流
RET00131,SHP01172,2024-10,FWDD10Y,钻石系列,5,运输损坏,2024-11-10,600.0,False,DHL
RET00132,SHP03365,2025-01,FWD504WR,耐候系列,545,客户取消,2025-01-26,49050.0,True,京东物流
RET00133,SHP03471,2025-02,FWD552,金属彩光系列,796,运输损坏,2025-02-25,23880.0,False,DHL
RET00134,SHP03283,2024-12,FWD6018,超白系列,29,质量问题,2024-12-22,1087.5,False,DHL
RET00135,SHP00609,2024-10,FWD525WR,耐候系列,791,规格不符,2024-11-08,71190.0,True,德邦
RET00136,SHP02917,2025-05,FWD8503WR,耐候系列,330,质量问题,2025-05-15,59400.0,False,京东物流
RET00137,SHP01774,2024-11,FWD534WR,耐候系列,1182,客户取消,2024-11-10,106380.0,True,德邦
RET00138,SHP01832,2025-11,FWD435,着色系列,433,质量问题,2025-11-15,25980.0,False,顺丰
RET00139,SHP02280,2024-12,FWD6003TWR,耐候系列,433,质量问题,2024-12-15,34640.0,False,中外运
RET00140,SHP02130,2024-10,FWD307,金色系列,500,发货错误,2024-10-15,18750.0,True,顺丰
RET00141,SHP00280,2025-02,FWD415Y,着色系列,594,规格不符,2025-03-05,26136.0,True,DHL
RET00142,SHP00669,2025-03,FWD6883,水晶系列,1514,规格不符,2025-03-19,83270.0,True,中外运
RET00143,SHP00234,2025-06,FWD123,银白系列,553,客户取消,2025-06-14,16590.0,True,FedEx
RET00144,SHP00463,2025-02,FWD3504,金属彩光系列,353,客户取消,2025-02-28,12002.0,True,FedEx
RET00145,SHP00937,2025-04,FWD508WR,耐候系列,16,规格不符,2025-04-06,1440.0,True,京东物流
RET00146,SHP02446,2025-08,FWD3112,金色系列,161,发货错误,2025-08-26,6440.0,True,京东物流
RET00147,SHP03177,2025-09,FWD416,着色系列,615,发货错误,2025-10-07,36900.0,True,FedEx
RET00148,SHP00211,2025-03,FWD510,金属彩光系列,266,运输损坏,2025-03-20,9044.0,False,中外运
RET00149,SHP03144,2024-12,FWD6300,水晶系列,1261,发货错误,2024-12-06,107185.0,True,顺丰
RET00150,SHP03021,2025-05,BHC9230YBH,化妆品系列,106,运输损坏,2025-05-14,23320.0,False,京东物流
RET00151,SHP02600,2025-10,FWD6009,超白系列,165,规格不符,2025-10-17,7425.0,True,中外运
RET00152,SHP03334,2025-08,FWD307,金色系列,482,运输损坏,2025-08-20,18075.0,False,DHL
RET00153,SHP02942,2025-11,FWD219,虹彩系列,1065,运输损坏,2025-11-28,39937.5,False,FedEx
RET00154,SHP01956,2024-12,FWD5891,钻石系列,184,运输损坏,2024-12-17,46000.0,False,FedEx
RET00155,SHP02013,2024-10,FWD6307A,水晶系列,356,发货错误,2024-10-27,19580.0,True,顺丰
RET00156,SHP01776,2025-01,FWD6215,水晶系列,73,客户取消,2025-01-31,4015.0,True,德邦
RET00157,SHP02377,2025-10,FWD5870D,钻石系列,168,客户取消,2025-11-01,30240.0,True,中外运
RET00158,SHP02650,2024-12,FWDD27X,钻石系列,438,规格不符,2024-12-15,109500.0,True,德邦
RET00159,SHP03066,2025-05,FWD500WR,耐候系列,915,规格不符,2025-06-13,82350.0,True,中外运
RET00160,SHP02089,2025-04,FWD121WR,耐候系列,1441,发货错误,2025-05-05,86460.0,True,顺丰
RET00161,SHP03293,2024-11,FWD415Y,着色系列,263,发货错误,2024-12-06,11572.0,True,中外运
RET00162,SHP00454,2025-02,FWD6009,超白系列,395,质量问题,2025-02-27,17775.0,False,中外运
RET00163,SHP01942,2024-10,FWD123TS,银白系列,1441,发货错误,2024-10-30,54758.0,True,德邦
RET00164,SHP00587,2024-11,FWD5870A,钻石系列,1137,运输损坏,2024-11-28,204660.0,False,顺丰
RET00165,SHP02814,2025-01,FWD6007,超白系列,843,运输损坏,2025-02-04,41307.0,False,顺丰
RET00166,SHP00268,2024-12,FWD401,着色系列,399,规格不符,2024-12-14,17556.0,True,京东物流
RET00167,SHP00834,2024-10,FWD6205,水晶系列,534,发货错误,2024-11-04,29370.0,True,京东物流
RET00168,SHP02935,2025-07,FWD216,虹彩系列,21,规格不符,2025-08-09,787.5,True,京东物流
RET00169,SHP02850,2024-10,FWDD25X,钻石系列,814,运输损坏,2024-10-03,203500.0,False,FedEx
RET00170,SHP01535,2024-11,FWD6501,水晶系列,1595,运输损坏,2024-11-24,87725.0,False,中外运
RET00171,SHP02028,2025-03,FWD6215,水晶系列,987,质量问题,2025-03-11,54285.0,False,德邦
RET00172,SHP02270,2025-06,FWD402,着色系列,182,发货错误,2025-06-14,8008.0,True,DHL
RET00173,SHP01014,2025-08,FWD6500,水晶系列,577,发货错误,2025-08-23,31735.0,True,DHL
RET00174,SHP00366,2025-02,FWD405B,着色系列,39,客户取消,2025-02-16,1716.0,True,德邦
RET00175,SHP00930,2024-11,FWD522WR,耐候系列,981,发货错误,2024-11-18,88290.0,True,中外运
RET00176,SHP02396,2025-09,FWD6602,磁性珠光,529,质量问题,2025-09-17,79350.0,False,FedEx
RET00177,SHP00351,2025-03,FWD153,银白系列,648,发货错误,2025-03-20,16848.0,True,德邦
RET00178,SHP01424,2025-06,FWDD21M,钻石系列,857,客户取消,2025-06-25,239960.0,True,FedEx
RET00179,SHP01247,2024-10,FWDD27L,钻石系列,474,运输损坏,2024-11-04,132720.0,False,京东物流
RET00180,SHP02158,2025-07,FWD5872A,钻石系列,56,质量问题,2025-08-03,15680.0,False,DHL
RET00181,SHP02145,2025-02,FWD325,金色系列,824,发货错误,2025-02-11,32548.0,True,德邦
RET00182,SHP03073,2025-07,FWD111WR,耐候系列,79,运输损坏,2025-07-20,4740.0,False,顺丰
RET00183,SHP00200,2025-08,FWDD10X,钻石系列,1028,客户取消,2025-09-01,123360.0,True,FedEx
RET00184,SHP01028,2025-05,FWDV095,玻璃包银系列,613,发货错误,2025-06-06,1311820.0,True,DHL
RET00185,SHP02156,2025-03,FWD417,着色系列,713,客户取消,2025-03-23,42780.0,True,德邦
