shipment_id,month,ship_date,expected_delivery,actual_delivery,warehouse,carrier,destination,sku,category,qty,weight_kg,freight_cost_rmb,revenue_rmb,on_time
SHP00001,2025-07,2025-07-02,2025-07-16,2025-07-18,深圳仓,DHL,北京,FWDD10X,钻石系列,1323,26.46,1393.5,158760.0,True
SHP00002,2025-07,2025-07-23,2025-08-02,2025-08-02,成都仓,中外运,广州,FWD6307A,水晶系列,875,17.5,594.36,48125.0,True
SHP00003,2025-01,2025-01-26,2025-01-31,2025-02-02,深圳仓,京东物流,Tokyo,FWD6225,水晶系列,159,1.59,550.59,8745.0,True
SHP00004,2025-05,2025-05-10,2025-05-25,2025-05-29,成都仓,德邦,广州,FWD361,金色系列,54,0.54,945.14,1890.0,True
SHP00005,2025-11,2025-11-10,2025-11-11,2025-11-10,广州仓,DHL,Los Angeles,FWD534WR,耐候系列,1196,0.0,409.89,107640.0,True
SHP00006,2025-10,2025-10-03,2025-10-07,2025-10-10,广州仓,FedEx,Singapore,FWD435B,着色系列,485,4.85,613.45,29100.0,True
SHP00007,2024-12,2024-12-01,2024-12-12,2024-12-12,上海仓,DHL,南京,FWD524,金属彩光系列,1429,14.29,1666.53,48586.0,True
SHP00008,2024-12,2024-12-23,2025-01-04,2025-01-05,成都仓,DHL,Singapore,FWD427,着色系列,289,2.89,1042.8,17340.0,True
SHP00009,2025-07,2025-07-18,2025-07-22,2025-07-27,上海仓,顺丰,Singapore,FWD6205,水晶系列,1373,13.73,911.05,75515.0,False
SHP00010,2025-11,2025-11-04,2025-11-08,2025-11-13,广州仓,顺丰,杭州,BHC9327GP,玻璃变色龙,1915,19.15,1171.47,957500.0,True
SHP00011,2025-09,2025-09-26,2025-10-05,2025-10-10,广州仓,顺丰,上海,BHC9233POH,化妆品系列,1829,0.0,1234.63,402380.0,False
SHP00012,2025-08,2025-08-19,2025-08-21,2025-08-21,成都仓,中外运,武汉,FWD509,金属彩光系列,1776,17.76,1543.47,60384.0,True
SHP00013,2025-07,2025-07-07,2025-07-12,2025-07-17,广州仓,中外运,Tokyo,FWD351WR,耐候系列,377,7.54,1390.68,33930.0,True
SHP00014,2025-06,2025-06-20,2025-06-21,2025-06-22,上海仓,FedEx,杭州,FWD435B,着色系列,455,4.55,353.31,27300.0,True
SHP00015,2025-08,2025-08-26,2025-09-03,2025-09-08,上海仓,德邦,北京,FWD7365,其他,1293,25.86,88.62,77580.0,True
