month,warehouse,op_type,sku,qty,weight_kg,operator,duration_min,error_flag
2024-10,上海仓,出库,FWD5872C,2768,27.68,仓管-03,68,False
2024-10,上海仓,退货入库,BHC89234BG,4329,43.29,仓管-02,15,False
2024-10,上海仓,移库,FWD217,3311,66.22,仓管-01,75,False
2024-10,上海仓,报废,FWD530,102,2.04,仓管-04,24,False
2024-10,上海仓,退货入库,FWD5895,2229,22.29,仓管-02,112,False
2024-10,上海仓,出库,FWD6005T,3379,33.79,仓管-01,113,False
2024-10,上海仓,退货入库,FWD289,3798,37.98,仓管-01,44,False
2024-10,上海仓,出库,FWD6002T,71,1.42,仓管-02,114,False
2024-10,上海仓,退货入库,FWD5870C,3459,0.0,仓管-04,84,False
2024-10,上海仓,出库,FWD522WR,1468,29.36,仓管-02,10,False
2024-10,上海仓,退货入库,FWD6006,3233,32.33,仓管-04,97,False
2024-10,上海仓,盘点,FWD5870C,4467,44.67,仓管-01,67,False
2024-10,上海仓,盘点,FWDD28M,303,3.03,仓管-01,79,False
2024-10,上海仓,移库,FWD6225,1042,10.42,仓管-01,107,False
2024-10,上海仓,入库,FWD6502,2741,27.41,仓管-04,71,False
2024-10,上海仓,退货入库,FWD122,2872,0.0,仓管-02,104,False
2024-10,上海仓,报废,BHC9321RY,317,0.0,仓管-03,47,False
2024-10,上海仓,入库,FWD520,278,0.0,仓管-03,5,False
2024-10,上海仓,报废,FWD6601,3350,0.0,仓管-04,76,False
2024-10,上海仓,报废,FWD351,3008,0.0,仓管-02,10,False
2024-10,上海仓,入库,FWD7305WR,4978,49.78,仓管-01,36,False
2024-10,上海仓,移库,HM010AS,2310,23.1,仓管-01,84,False
2024-10,上海仓,退货入库,BHC89230GY,2649,26.49,仓管-02,55,False
2024-10,上海仓,盘点,FWD3302,3579,35.79,仓管-03,43,True
2024-10,上海仓,出库,BHC9337GP,631,6.31,仓管-03,40,False
2024-10,上海仓,出库,FWD503,553,5.53,仓管-01,62,False
2024-10,上海仓,入库,FWD7351,3095,30.95,仓管-02,23,False
2024-10,上海仓,移库,FWDV550,4864,0.0,仓管-03,97,False
2024-10,上海仓,移库,FWD6002A,325,6.5,仓管-01,54,False
2024-10,上海仓,报废,FWD509,227,0.0,仓管-02,65,False
2024-10,上海仓,报废,FWD6860,315,3.15,仓管-04,55,False
2024-10,上海仓,退货入库,FWD123TS,1941,38.82,仓管-01,60,False
2024-10,上海仓,退货入库,FWD152WR,1025,20.5,仓管-03,27,False
2024-10,上海仓,入库,FWD424,1561,31.22,仓管-02,87,False
2024-10,上海仓,盘点,FWD430,2028,40.56,仓管-04,59,False
2024-10,上海仓,报废,FWD6502,4472,89.44,仓管-04,63,False
2024-10,上海仓,盘点,FWD6602E,4429,44.29,仓管-03,105,False
2024-10,上海仓,入库,BHC9237GRH,4238,42.38,仓管-02,32,False
2024-10,上海仓,报废,FWD4012,843,16.86,仓管-03,87,False
2024-10,上海仓,退货入库,FWD502WR,1631,0.0,仓管-04,110,False
2024-10,上海仓,盘点,FWD5518WR,2176,0.0,仓管-03,82,False
2024-10,上海仓,入库,FWD6002AWR,3607,0.0,仓管-04,67,False
2024-10,上海仓,退货入库,FWD5872C,789,7.89,仓管-03,81,False
2024-10,上海仓,入库,FWD504WR,872,8.72,仓管-02,106,False
2024-10,上海仓,盘点,FWD506,3539,70.78,仓管-04,59,False
2024-10,上海仓,移库,FWDV150,2516,25.16,仓管-04,12,False
2024-10,上海仓,退货入库,FWD403,4456,0.0,仓管-02,95,False
2024-10,上海仓,报废,FWD5892,2494,0.0,仓管-04,31,False
2024-10,上海仓,退货入库,FWD400B,3539,35.39,仓管-03,95,False
2024-10,上海仓,盘点,FWD410,2362,23.62,仓管-04,44,False
2024-10,上海仓,盘点,BHC9327GP,4320,43.2,仓管-02,85,False
2024-10,上海仓,退货入库,FWD307,2395,23.95,仓管-03,88,False
2024-10,上海仓,退货入库,FWD401,2501,50.02,仓管-01,105,False
2024-10,上海仓,移库,FWD111,3601,36.01,仓管-03,23,False
2024-10,上海仓,移库,FWD5518,1486,14.86,仓管-01,23,False
2024-10,上海仓,移库,FWD211,509,5.09,仓管-03,57,False
2024-10,上海仓,移库,FWD103,2484,24.84,仓管-04,5,False
2024-10,上海仓,移库,FWD235,156,1.56,仓管-03,104,False
2024-10,上海仓,退货入库,FWD3112,2843,28.43,仓管-01,111,False
2024-10,上海仓,入库,FWDD29L,3719,74.38,仓管-04,96,False
2024-10,上海仓,出库,FWD5893,794,15.88,仓管-02,38,True
2024-10,上海仓,报废,FWD101WR,4276,42.76,仓管-03,31,False
2024-10,上海仓,移库,FWD6504,2617,26.17,仓管-01,80,False
2024-11,上海仓,盘点,FWD508WR,2801,0.0,仓管-01,115,False
2024-11,上海仓,出库,FWD6850,2727,27.27,仓管-02,102,False
2024-11,上海仓,盘点,FWD5870A,3670,0.0,仓管-03,94,False
2024-11,上海仓,移库,FWDV020,4215,42.15,仓管-03,68,False
2024-11,上海仓,报废,FWD491,2879,57.58,仓管-03,47,False
2024-11,上海仓,报废,FWD5519,2543,25.43,仓管-02,51,False
2024-11,上海仓,移库,FWDD10X,2621,26.21,仓管-04,11,False
2024-11,上海仓,入库,FWD6003TWR,991,9.91,仓管-02,19,False
2024-11,上海仓,出库,FWDD27M,2744,54.88,仓管-03,12,False
2024-11,上海仓,退货入库,FWD6224,2424,24.24,仓管-03,52,False
2024-11,上海仓,入库,FWD6006,1714,17.14,仓管-03,117,False
2024-11,上海仓,移库,FWD7322B,4087,40.87,仓管-01,33,False
2024-11,上海仓,退货入库,HM010AS,2738,0.0,仓管-01,70,False
2024-11,上海仓,报废,FWD5800,3658,73.16,仓管-03,90,False
2024-11,上海仓,盘点,FWD6500A,4892,0.0,仓管-02,74,False
2024-11,上海仓,移库,FWDD25X,2219,22.19,仓管-04,35,False
2024-11,上海仓,出库,FWDD10Y,3303,33.03,仓管-03,7,False
2024-11,上海仓,退货入库,FWD421,4166,83.32,仓管-01,104,False
2024-11,上海仓,移库,FWDD28X,1015,10.15,仓管-02,45,False
2024-11,上海仓,报废,FWD300,1966,0.0,仓管-03,50,False
2024-11,上海仓,入库,FWD6884,613,6.13,仓管-02,105,False
2024-11,上海仓,退货入库,FWD120,4507,45.07,仓管-02,48,False
2024-11,上海仓,报废,BHC9320YB,3600,72.0,仓管-02,88,False
2024-11,上海仓,出库,FWD405B,4525,0.0,仓管-03,84,False
2024-11,上海仓,入库,FWDD27L,188,0.0,仓管-01,72,False
2024-11,上海仓,退货入库,FWDV095B,3414,68.28,仓管-04,14,False
2024-11,上海仓,报废,FWD120,2434,24.34,仓管-04,106,False
2024-11,上海仓,报废,FWD6882,3167,63.34,仓管-02,47,False
2024-11,上海仓,出库,FWD5892,4641,46.41,仓管-03,47,False
2024-11,上海仓,出库,FWD411,2311,23.11,仓管-01,110,False
2024-11,上海仓,入库,FWD215,384,3.84,仓管-04,22,False
2024-11,上海仓,报废,FWD304,1448,14.48,仓管-02,28,False
2024-11,上海仓,盘点,FWD231WR,3637,36.37,仓管-04,32,False
2024-11,上海仓,退货入库,FWD249,864,8.64,仓管-04,48,False
2024-11,上海仓,盘点,FWDD23M,2952,29.52,仓管-03,120,False
2024-11,上海仓,盘点,FWD425,3300,0.0,仓管-03,77,False
2024-11,上海仓,退货入库,FWD101WR,244,4.88,仓管-03,116,False
2024-11,上海仓,出库,FWD508,2991,59.82,仓管-02,99,False
2024-11,上海仓,报废,FWD6018T,966,9.66,仓管-04,29,False
2024-11,上海仓,入库,FWD6163,4697,46.97,仓管-01,44,False
2024-11,上海仓,移库,HC010AS,4199,41.99,仓管-04,116,False
2024-11,上海仓,入库,FWDD10X,2479,0.0,仓管-01,50,False
2024-11,上海仓,退货入库,FWD001,1858,0.0,仓管-02,43,False
2024-11,上海仓,入库,FWD151,3973,39.73,仓管-03,32,True
2024-11,上海仓,盘点,FWDV080B,2294,22.94,仓管-02,19,False
2024-11,上海仓,盘点,FWDD29X,1210,0.0,仓管-04,48,False
2024-11,上海仓,出库,FWD173,2141,21.41,仓管-02,76,False
2024-11,上海仓,盘点,FWD5800,1218,24.36,仓管-04,105,False
2024-11,上海仓,盘点,FWD508WR,3775,37.75,仓管-02,102,False
2024-11,上海仓,报废,FWD5872C,1460,29.2,仓管-04,103,False
2024-11,上海仓,盘点,FWD152,437,8.74,仓管-01,24,False
2024-11,上海仓,移库,FWDV060,1301,13.01,仓管-01,26,False
2024-11,上海仓,盘点,FWD425B,4368,43.68,仓管-02,72,False
2024-11,上海仓,出库,FWD6300T,3425,0.0,仓管-03,91,False
2024-11,上海仓,出库,FWD6002T,2364,0.0,仓管-01,40,False
2024-11,上海仓,报废,FWD6219,4429,44.29,仓管-02,67,False
2024-11,上海仓,移库,FWD6300T,3335,33.35,仓管-02,110,False
2024-11,上海仓,报废,FWD6885,1337,13.37,仓管-03,12,True
2024-11,上海仓,出库,FWD362,856,17.12,仓管-01,24,False
2024-11,上海仓,入库,FWD6500,1399,13.99,仓管-03,100,False
2024-11,上海仓,报废,FWD6500A,2731,27.31,仓管-03,18,False
2024-11,上海仓,移库,FWD6882,2714,27.14,仓管-02,47,False
2024-11,上海仓,入库,FWD3302,3651,73.02,仓管-03,85,False
2024-11,上海仓,退货入库,FWD4002,1045,10.45,仓管-01,98,False
2024-11,上海仓,盘点,FWD5870B,3972,39.72,仓管-01,81,False
2024-11,上海仓,报废,FWD506,166,1.66,仓管-02,96,False
2024-11,上海仓,移库,FWD6001,1631,16.31,仓管-01,8,False
2024-11,上海仓,出库,FWD403,4040,40.4,仓管-01,90,False
2024-12,上海仓,盘点,FWD522WR,2272,45.44,仓管-02,39,False
2024-12,上海仓,盘点,FWD351WR,1258,25.16,仓管-03,70,False
2024-12,上海仓,入库,FWD6005,3609,36.09,仓管-02,106,False
2024-12,上海仓,移库,FWD6215,3413,34.13,仓管-02,60,False
2024-12,上海仓,移库,FWD306,2104,21.04,仓管-04,53,False
