month,week,production_line,planned_hours,actual_hours,utilization_rate,downtime_hours,downtime_reason,output_kg
2024-10,1,产线-01,41.5,41.5,1.0,0.5,换线,2047.8
2024-10,2,产线-01,38.2,34.0,0.89,1.1,无,1865.2
2024-10,3,产线-01,42.2,29.5,0.7,3.0,无,1237.7
2024-10,4,产线-01,37.1,36.0,0.97,3.8,换线,1601.0
2024-11,1,产线-01,46.2,34.2,0.74,2.8,无,1992.1
2024-11,2,产线-01,43.4,33.8,0.78,1.4,无,922.6
2024-11,3,产线-01,39.0,30.0,0.77,1.9,维护,1340.4
2024-11,4,产线-01,46.1,36.4,0.79,3.3,待料,1878.3
2024-12,1,产线-01,43.7,32.8,0.75,3.8,无,1855.1
2024-12,2,产线-01,47.1,45.7,0.97,2.7,无,2076.9
2024-12,3,产线-01,39.0,37.4,0.96,2.1,无,2024.4
2024-12,4,产线-01,44.6,34.8,0.78,3.8,换线,1759.1
2025-01,1,产线-01,40.3,32.2,0.8,0.2,无,674.8
2025-01,2,产线-01,39.9,33.9,0.85,3.3,无,1411.9
2025-01,3,产线-01,37.3,28.0,0.75,0.7,待料,909.6
2025-01,4,产线-01,43.9,42.6,0.97,1.7,维护,1832.3
2025-02,1,产线-01,40.0,33.2,0.83,0.3,无,1869.1
2025-02,2,产线-01,42.9,37.3,0.87,4.0,无,1149.8
2025-02,3,产线-01,36.1,30.7,0.85,0.7,无,654.0
2025-02,4,产线-01,40.2,38.2,0.95,2.0,无,2140.8
2025-03,1,产线-01,42.5,39.5,0.93,3.1,维护,2020.1
2025-03,2,产线-01,38.6,30.5,0.79,1.3,换线,1228.3
2025-03,3,产线-01,43.1,37.5,0.87,1.2,无,1591.0
2025-03,4,产线-01,41.1,30.4,0.74,0.3,无,1393.2
2025-04,1,产线-01,47.7,44.8,0.94,0.2,无,1030.8
2025-04,2,产线-01,40.9,37.2,0.91,1.1,换线,1714.6
2025-04,3,产线-01,41.4,34.4,0.83,0.8,无,841.7
2025-04,4,产线-01,43.8,37.2,0.85,3.0,换线,1054.4
2025-05,1,产线-01,39.9,31.1,0.78,0.5,无,1752.2
2025-05,2,产线-01,43.6,34.0,0.78,2.2,换线,1616.8
2025-05,3,产线-01,36.8,27.3,0.74,2.5,待料,827.1
2025-05,4,产线-01,43.0,32.6,0.76,3.1,待料,1437.9
2025-06,1,产线-01,45.2,37.1,0.82,2.0,维护,840.6
2025-06,2,产线-01,39.3,28.3,0.72,1.0,维护,1294.6
2025-06,3,产线-01,41.2,35.5,0.86,0.7,无,1216.2
2025-06,4,产线-01,44.0,37.8,0.86,3.4,无,1312.6
2025-07,1,产线-01,37.3,30.9,0.83,2.1,待料,1188.8
2025-07,2,产线-01,39.5,33.1,0.84,2.5,无,1687.7
2025-07,3,产线-01,39.3,29.5,0.75,3.1,换线,1092.1
2025-07,4,产线-01,37.5,34.9,0.93,3.4,换线,1007.6
2025-08,1,产线-01,41.0,31.2,0.76,0.2,无,1087.6
2025-08,2,产线-01,38.7,31.3,0.81,3.9,待料,1097.0
2025-08,3,产线-01,36.1,34.7,0.96,0.5,无,1952.4
2025-08,4,产线-01,45.3,33.1,0.73,1.6,无,1671.9
2025-09,1,产线-01,42.9,35.6,0.83,1.6,无,1411.8
2025-09,2,产线-01,45.5,33.2,0.73,0.1,无,1818.2
2025-09,3,产线-01,40.2,36.2,0.9,0.0,无,1059.1
2025-09,4,产线-01,40.2,39.8,0.99,2.9,换线,2303.6
2025-10,1,产线-01,39.0,31.2,0.8,1.1,待料,718.2
2025-10,2,产线-01,38.3,26.8,0.7,3.6,无,844.4
2025-10,3,产线-01,41.9,31.0,0.74,1.7,待料,714.8
2025-10,4,产线-01,36.5,34.3,0.94,3.8,无,1750.0
2025-11,1,产线-01,41.2,38.3,0.93,3.3,换线,880.3
2025-11,2,产线-01,43.7,38.9,0.89,3.9,无,1396.8
2025-11,3,产线-01,41.0,31.2,0.76,0.9,维护,1521.3
2025-11,4,产线-01,44.9,39.1,0.87,0.2,无,1630.1
