wo_id,month,sku,component,plan_usage_kg,actual_usage_kg,unit_cost_rmb,variance_pct
WO01995,2025-07,FWD427,分散剂,0.7162,0.7162,21.0,0.07
WO01995,2025-07,FWD427,包装材料,4.4857,4.1012,56.35,0.03
WO01995,2025-07,FWD427,合成云母,3.1287,2.8903,43.7,0.11
WO01218,2025-08,FWD7504,包装材料,1.5671,1.5522,75.93,0.11
WO01218,2025-08,FWD7504,云母粉,4.0745,3.8805,77.98,-0.09
WO01218,2025-08,FWD7504,合成云母,1.0656,1.0961,68.23,-0.08
WO01218,2025-08,FWD7504,色料,6.1431,6.1431,17.04,0.07
WO00680,2024-11,FWD6224,珠光粉基材,3.7295,3.623,21.8,0.08
WO00680,2024-11,FWD6224,云母粉,2.4864,2.2969,68.41,-0.05
WO00680,2024-11,FWD6224,钛白粉,1.6576,1.6734,43.83,0.12
WO00680,2024-11,FWD6224,包装材料,5.2391,4.8399,15.64,0.02
WO02302,2025-02,FWD5872C,合成云母,0.8831,0.8915,74.84,-0.06
WO02302,2025-02,FWD5872C,色料,0.8891,0.8299,35.94,-0.02
WO01817,2025-02,FWD6003T,色料,1.8373,1.8198,53.38,-0.04
WO01817,2025-02,FWD6003T,钛白粉,1.4379,1.3694,58.59,0.02
WO01817,2025-02,FWD6003T,合成云母,2.3699,2.415,32.36,0.06
WO01817,2025-02,FWD6003T,云母粉,0.1598,0.1522,17.8,0.02
WO00213,2025-07,BHC9328GR,云母粉,8.155,8.388,52.18,-0.03
WO00213,2025-07,BHC9328GR,包装材料,6.8161,6.3617,8.36,-0.04
WO00374,2025-01,FWD5519,云母粉,1.3902,1.2842,20.08,-0.0
WO00374,2025-01,FWD5519,分散剂,1.7482,1.7982,79.19,-0.05
WO00374,2025-01,FWD5519,合成云母,0.8846,0.8172,70.76,0.05
WO00374,2025-01,FWD5519,钛白粉,1.9483,1.9483,27.18,0.04
WO00375,2025-03,FWDD29L,色料,1.4141,1.441,10.91,0.01
WO00375,2025-03,FWDD29L,云母粉,3.5596,3.5596,32.56,0.08
WO00375,2025-03,FWDD29L,钛白粉,3.4133,3.4784,23.07,0.01
WO02158,2025-10,FWD525,珠光粉基材,5.5332,5.1643,46.22,0.01
WO02158,2025-10,FWD525,云母粉,8.3308,8.0928,59.22,0.05
WO02158,2025-10,FWD525,包装材料,2.6733,2.6224,24.23,-0.01
WO02158,2025-10,FWD525,色料,8.7039,8.9526,56.08,0.05
WO02374,2025-03,FWD6225,合成云母,6.4478,6.1407,67.38,-0.08
WO02374,2025-03,FWD6225,分散剂,6.1281,6.1864,58.68,0.14
WO02374,2025-03,FWD6225,珠光粉基材,8.153,7.4542,11.68,-0.03
WO01852,2025-06,FWD425,合成云母,4.7295,4.6845,14.34,0.05
WO01852,2025-06,FWD425,包装材料,2.1329,1.9907,9.87,0.03
WO01852,2025-06,FWD425,珠光粉基材,2.8284,2.7746,26.83,0.04
WO00445,2025-08,FWD522,珠光粉基材,12.9541,12.7073,10.29,-0.1
WO00445,2025-08,FWD522,钛白粉,6.6178,6.4918,60.0,0.04
WO00445,2025-08,FWD522,色料,6.9698,7.0362,73.2,-0.03
WO02309,2025-07,FWD305,合成云母,0.1479,0.1521,77.51,0.0
WO02309,2025-07,FWD305,钛白粉,0.631,0.637,15.56,0.02
WO02309,2025-07,FWD305,云母粉,0.1775,0.1758,34.97,-0.05
WO00109,2024-10,FWD221,云母粉,6.6559,6.4657,62.23,-0.02
WO00109,2024-10,FWD221,色料,1.8597,1.718,69.77,-0.01
WO00109,2024-10,FWD221,钛白粉,1.0278,1.0278,21.63,0.06
WO00109,2024-10,FWD221,包装材料,4.7962,4.9789,56.74,-0.05
WO01808,2025-09,BHC9235BVH,色料,4.3471,4.0159,65.15,0.12
WO01808,2025-09,BHC9235BVH,珠光粉基材,1.4398,1.4535,53.25,0.04
WO00393,2025-08,FWD323,色料,3.9866,3.6069,78.91,-0.02
WO00393,2025-08,FWD323,合成云母,10.7047,11.2144,6.79,-0.09
