wo_id,month,plan_date,complete_date,sku,production_line,plan_qty,actual_qty,efficiency,scrap_qty,status,shift
WO00001,2025-11,2025-11-02,2025-11-13,FWDV060,产线-04,4355,4050,0.93,39,生产中,早班
WO00002,2025-06,2025-06-17,2025-06-22,FWD6163,产线-05,2744,2387,0.87,43,已完成,早班
WO00003,2025-02,2025-02-08,2025-02-09,FWD303,产线-08,7003,6163,0.88,14,计划,早班
WO00004,2025-06,2025-06-15,2025-06-23,FWD111,产线-01,7454,7305,0.98,69,已完成,夜班
WO00005,2025-03,2025-03-07,2025-03-15,FWD5892,产线-08,1675,1374,0.82,22,已完成,中班
WO00006,2025-11,2025-11-22,2025-11-27,FWD5872A,产线-01,3511,3230,0.92,63,生产中,夜班
WO00007,2025-09,2025-09-18,2025-09-29,FWD6500A,产线-06,1375,1155,0.84,14,生产中,早班
WO00008,2024-11,2024-11-02,2024-11-05,FWD5892,产线-02,1441,1441,1.0,9,已完成,中班
WO00009,2025-02,2025-02-18,2025-02-20,FWD6003,产线-03,2632,2553,0.97,27,计划,中班
WO00010,2025-08,2025-08-03,2025-08-14,FWD6007,产线-03,4162,4037,0.97,68,已完成,夜班
WO00011,2025-04,2025-04-09,2025-04-11,FWDD25M,产线-08,1673,1506,0.9,2,已完成,中班
WO00012,2025-08,2025-08-08,2025-08-12,FWD6602E,产线-07,5155,5052,0.98,40,已完成,早班
WO00013,2024-12,2024-12-22,2024-12-30,FWD3504,产线-02,1227,1092,0.89,19,计划,中班
WO00014,2025-02,2025-02-01,2025-02-07,FWD408,产线-08,3474,2883,0.83,31,计划,早班
WO00015,2025-06,2025-06-28,2025-07-08,FWDD10X,产线-05,3165,2754,0.87,47,生产中,夜班
WO00016,2024-11,2024-11-25,2024-12-02,FWD320,产线-05,4280,3724,0.87,20,已完成,早班
WO00017,2025-05,2025-05-20,2025-05-28,FWD6002A,产线-01,4312,4183,0.97,59,已完成,早班
WO00018,2025-09,2025-09-02,2025-09-06,FWD6850,产线-03,3938,3150,0.8,0,已完成,中班
WO00019,2025-10,2025-10-08,2025-10-22,FWD5872C,产线-01,2511,2335,0.93,31,已完成,夜班
WO00020,2025-06,2025-06-26,2025-07-06,FWD6502A,产线-02,5495,4781,0.87,21,已完成,早班
WO00021,2025-10,2025-10-27,2025-11-02,FWDD10M,产线-04,6785,5699,0.84,48,已完成,中班
WO00022,2024-11,2024-11-12,2024-11-22,FWD205A,产线-04,2174,2065,0.95,3,已完成,早班
WO00023,2025-01,2025-01-15,2025-01-25,FWD152WR,产线-05,6554,6161,0.94,68,已完成,夜班
WO00024,2025-08,2025-08-21,2025-08-22,FWD403,产线-04,6685,5482,0.82,115,已完成,中班
WO00025,2025-11,2025-11-02,2025-11-11,FWD110,产线-08,1993,1734,0.87,4,计划,夜班
WO00026,2025-07,2025-07-08,2025-07-21,FWD6881,产线-01,1196,1100,0.92,15,生产中,早班
WO00027,2024-11,2024-11-11,2024-11-16,FWD6002,产线-06,5757,4663,0.81,90,已完成,夜班
WO00028,2025-04,2025-04-19,2025-04-23,FWD410,产线-08,915,778,0.85,0,已完成,早班
WO00029,2025-10,2025-10-25,2025-11-04,BHC89232BR,产线-04,5102,4184,0.82,4,已完成,早班
WO00030,2025-01,2025-01-25,2025-01-26,FWD3504,产线-08,6877,5639,0.82,136,计划,早班
WO00031,2025-10,2025-10-06,2025-10-12,FWD6601A,产线-06,5979,5441,0.91,88,生产中,早班
WO00032,2025-03,2025-03-19,2025-03-23,FWD224,产线-03,4194,3481,0.83,24,生产中,夜班
WO00033,2025-07,2025-07-28,2025-08-08,FWDD10X,产线-07,1697,1561,0.92,33,计划,中班
WO00034,2025-02,2025-02-16,2025-02-21,FWD6860,产线-08,6339,5135,0.81,35,生产中,夜班
WO00035,2025-09,2025-09-06,2025-09-14,FWD6603B,产线-01,7945,6753,0.85,23,生产中,夜班
WO00036,2025-11,2025-11-10,2025-11-24,FWD6003,产线-04,2196,1867,0.85,31,计划,夜班
WO00037,2024-10,2024-10-09,2024-10-17,FWD417,产线-04,4582,4215,0.92,13,已完成,早班
WO00038,2025-06,2025-06-25,2025-07-01,FWD308,产线-03,3343,3042,0.91,0,已完成,夜班
WO00039,2025-10,2025-10-22,2025-10-26,FWD6303A,产线-05,1503,1308,0.87,6,已完成,早班
WO00040,2024-11,2024-11-23,2024-12-05,FWD151,产线-01,7074,6225,0.88,118,计划,早班
WO00041,2025-07,2025-07-22,2025-08-01,FWD153,产线-07,6684,5882,0.88,39,计划,中班
WO00042,2025-11,2025-11-01,2025-11-09,FWD6602E,产线-03,337,327,0.97,2,计划,夜班
WO00043,2025-10,2025-10-14,2025-10-19,FWD508,产线-07,1668,1635,0.98,5,已完成,早班
WO00044,2025-03,2025-03-03,2025-03-12,FWD101WR,产线-08,5141,4421,0.86,43,生产中,夜班
WO00045,2025-08,2025-08-18,2025-09-01,FWD3500,产线-04,1948,1714,0.88,5,计划,夜班
WO00046,2025-08,2025-08-08,2025-08-17,FWD503,产线-05,1849,1572,0.85,24,生产中,早班
WO00047,2025-07,2025-07-24,2025-07-28,FWD408,产线-03,1775,1598,0.9,3,已完成,中班
WO00048,2025-03,2025-03-23,2025-03-29,FWD436 ,产线-01,601,535,0.89,1,计划,中班
WO00049,2024-10,2024-10-08,2024-10-13,FWDD10L,产线-07,5572,4625,0.83,40,已完成,中班
WO00050,2025-07,2025-07-20,2025-07-27,FWD173,产线-07,4546,4273,0.94,43,已完成,早班
WO00051,2025-05,2025-05-06,2025-05-15,FWD301,产线-05,666,573,0.86,1,已完成,早班
WO00052,2025-02,2025-02-12,2025-02-17,FWD6504T,产线-06,2937,2585,0.88,30,生产中,早班
WO00053,2024-10,2024-10-01,2024-10-15,FWD5870D,产线-01,4745,4745,1.0,85,计划,早班
WO00054,2025-02,2025-02-12,2025-02-17,FWD425,产线-06,4589,4222,0.92,23,已完成,早班
WO00055,2025-03,2025-03-18,2025-03-22,FWD415Y,产线-03,5040,4637,0.92,38,已完成,夜班
WO00056,2025-02,2025-02-19,2025-02-26,FWD221WR,产线-07,3809,3200,0.84,8,生产中,早班
WO00057,2024-11,2024-11-28,2024-12-03,FWDD28X,产线-01,459,409,0.89,9,计划,中班
WO00058,2025-02,2025-02-20,2025-02-28,FWD5894,产线-07,5004,4103,0.82,8,计划,中班
WO00059,2025-05,2025-05-06,2025-05-19,FWDV020,产线-05,1079,1025,0.95,0,已完成,夜班
WO00060,2025-04,2025-04-23,2025-05-01,FWD121WR,产线-06,3475,3232,0.93,35,已完成,夜班
WO00061,2025-06,2025-06-11,2025-06-12,FWDD21M,产线-04,1754,1701,0.97,12,已完成,早班
