wo_id,month,sku,production_line,sample_qty,defect_qty,defect_rate,defect_type,pass,inspector
WO00001,2025-11,FWDV060,产线-04,51,0,0.0,无,True,QC-A
WO00001,2025-11,FWDV060,产线-04,84,4,0.04762,无,False,QC-A
WO00002,2025-06,FWD6163,产线-05,84,1,0.0119,无,True,QC-B
WO00002,2025-06,FWD6163,产线-05,98,4,0.04082,无,False,QC-C
WO00003,2025-02,FWD303,产线-08,80,4,0.05,粒径偏差,False,QC-C
WO00003,2025-02,FWD303,产线-08,20,1,0.05,无,False,QC-B
WO00004,2025-06,FWD111,产线-01,94,3,0.03191,杂质,False,QC-C
WO00005,2025-03,FWD5892,产线-08,43,0,0.0,无,True,QC-A
WO00005,2025-03,FWD5892,产线-08,29,0,0.0,无,True,QC-B
WO00006,2025-11,FWD5872A,产线-01,40,2,0.05,无,False,QC-A
WO00006,2025-11,FWD5872A,产线-01,53,0,0.0,无,True,QC-B
WO00007,2025-09,FWD6500A,产线-06,72,2,0.02778,粒径偏差,True,QC-C
WO00008,2024-11,FWD5892,产线-02,87,3,0.03448,色差,False,QC-B
WO00009,2025-02,FWD6003,产线-03,53,1,0.01887,粒径偏差,True,QC-B
WO00009,2025-02,FWD6003,产线-03,25,0,0.0,粒径偏差,True,QC-B
WO00010,2025-08,FWD6007,产线-03,46,0,0.0,无,True,QC-B
WO00011,2025-04,FWDD25M,产线-08,60,0,0.0,色差,True,QC-C
WO00012,2025-08,FWD6602E,产线-07,88,3,0.03409,粒径偏差,False,QC-A
WO00013,2024-12,FWD3504,产线-02,97,1,0.01031,无,True,QC-B
WO00013,2024-12,FWD3504,产线-02,62,2,0.03226,杂质,False,QC-B
WO00014,2025-02,FWD408,产线-08,58,1,0.01724,无,True,QC-C
WO00014,2025-02,FWD408,产线-08,54,1,0.01852,无,True,QC-A
WO00015,2025-06,FWDD10X,产线-05,21,1,0.04762,无,False,QC-C
WO00016,2024-11,FWD320,产线-05,24,1,0.04167,无,False,QC-B
WO00017,2025-05,FWD6002A,产线-01,85,2,0.02353,无,True,QC-C
WO00018,2025-09,FWD6850,产线-03,81,1,0.01235,无,True,QC-B
WO00018,2025-09,FWD6850,产线-03,76,1,0.01316,无,True,QC-C
WO00019,2025-10,FWD5872C,产线-01,24,1,0.04167,色差,False,QC-B
WO00019,2025-10,FWD5872C,产线-01,35,1,0.02857,杂质,True,QC-C
WO00020,2025-06,FWD6502A,产线-02,27,0,0.0,无,True,QC-B
WO00021,2025-10,FWDD10M,产线-04,41,0,0.0,无,True,QC-B
WO00021,2025-10,FWDD10M,产线-04,65,0,0.0,粒径偏差,True,QC-C
