month,channel,category,revenue_rmb,units_sold,orders_count,avg_order_value,return_rate,new_customer_ratio
2024-10,电商平台,金色系列,28799.55,1674,84,126.31,0.01,0.16
2024-10,电商平台,磁性珠光,433531.55,3215,218,1559.47,0.03,0.29
2024-10,电商平台,其他,123399.55,2853,228,483.92,0.01,0.23
2024-10,电商平台,金属彩光系列,35311.19,1001,147,180.16,0.03,0.21
2024-10,电商平台,超白系列,214856.36,2720,34,2085.98,0.01,0.12
2024-10,电商平台,钻石系列,374929.81,1836,156,1493.74,0.03,0.28
2024-10,电商平台,耐候系列,221144.69,2166,261,1128.29,0.03,0.13
2024-10,电商平台,着色系列,337784.29,4620,76,1887.06,0.04,0.34
2024-10,电商平台,玻璃变色龙,374036.69,4924,280,1870.18,0.03,0.18
2024-10,电商平台,水晶系列,296320.34,814,64,3898.95,0.05,0.28
2024-10,电商平台,化妆品系列,30109.08,1660,108,126.51,0.07,0.12
2024-10,电商平台,云母粉,277823.72,2909,164,1102.48,0.08,0.16
2024-10,电商平台,银白系列,363177.04,458,75,3362.75,0.04,0.31
2024-10,电商平台,虹彩系列,446877.46,4690,187,2268.41,0.04,0.32
2024-10,电商平台,着色变色龙,456316.1,654,257,2037.13,0.05,0.39
2024-10,电商平台,玻璃包银系列,397533.73,1467,150,5230.71,0.03,0.39
2024-11,电商平台,金色系列,39788.76,1658,213,151.29,0.06,0.36
2024-11,电商平台,磁性珠光,486053.82,1455,234,1800.2,0.04,0.33
2024-11,电商平台,其他,206415.99,2324,115,1984.77,0.01,0.27
2024-11,电商平台,金属彩光系列,300135.25,172,272,1235.12,0.05,0.32
2024-11,电商平台,超白系列,136828.96,1904,161,930.81,0.05,0.15
2024-11,电商平台,钻石系列,32350.11,2051,159,1078.34,0.05,0.38
2024-11,电商平台,耐候系列,146100.69,1189,148,4058.35,0.05,0.17
2024-11,电商平台,着色系列,413471.03,4479,69,41347.1,0.06,0.29
2024-11,电商平台,玻璃变色龙,486387.13,2758,52,1671.43,0.03,0.14
2024-11,电商平台,水晶系列,450184.52,2515,176,11543.19,0.05,0.1
2024-11,电商平台,化妆品系列,184186.75,2391,100,1306.29,0.08,0.26
2024-11,电商平台,云母粉,489593.57,4878,64,2388.26,0.08,0.18
2024-11,电商平台,银白系列,316852.52,4612,115,1342.6,0.03,0.18
2024-11,电商平台,虹彩系列,295015.26,3339,89,1239.56,0.03,0.32
2024-11,电商平台,着色变色龙,190633.6,4024,57,724.84,0.02,0.16
2024-11,电商平台,玻璃包银系列,432552.56,1647,261,4240.71,0.06,0.11
2024-12,电商平台,金色系列,89830.14,1555,211,847.45,0.01,0.12
2024-12,电商平台,磁性珠光,130174.38,3397,61,466.57,0.02,0.33
2024-12,电商平台,其他,15776.38,916,203,76.58,0.01,0.35
2024-12,电商平台,金属彩光系列,384088.42,458,77,2803.57,0.06,0.18
2024-12,电商平台,超白系列,469913.21,210,14,7342.39,0.05,0.35
2024-12,电商平台,钻石系列,427832.9,796,113,5281.89,0.04,0.27
2024-12,电商平台,耐候系列,227719.84,1436,167,1272.18,0.04,0.17
2024-12,电商平台,着色系列,276327.95,2291,288,3785.31,0.01,0.11
2024-12,电商平台,玻璃变色龙,276874.63,940,271,1247.18,0.02,0.37
2024-12,电商平台,水晶系列,21760.43,3599,207,256.01,0.03,0.19
2024-12,电商平台,化妆品系列,461628.55,3251,67,1768.69,0.02,0.13
2024-12,电商平台,云母粉,59850.76,2408,192,1221.44,0.05,0.14
2024-12,电商平台,银白系列,462426.61,794,32,5315.25,0.02,0.26
2024-12,电商平台,虹彩系列,303809.63,3583,86,1852.5,0.05,0.19
2024-12,电商平台,着色变色龙,438947.06,2320,265,2216.9,0.08,0.34
2024-12,电商平台,玻璃包银系列,358540.27,725,11,4169.07,0.06,0.14
