month,sku,category,base_price,observed_price,elasticity_coef,demand_index,competitor_price_index
2024-10,FWD100,银白系列,25.0,27.0,-1.82,0.9,0.94
2024-11,FWD100,银白系列,25.0,21.25,-0.55,1.59,1.01
2024-12,FWD100,银白系列,25.0,26.25,-2.99,0.82,0.98
2025-01,FWD100,银白系列,25.0,21.25,-1.02,0.59,0.96
2025-02,FWD100,银白系列,25.0,21.25,-2.82,1.29,1.19
2025-03,FWD100,银白系列,25.0,25.5,-2.28,0.84,1.0
2025-04,FWD100,银白系列,25.0,28.5,-1.81,1.38,1.18
2025-05,FWD100,银白系列,25.0,21.75,-1.98,1.58,1.27
2025-06,FWD100,银白系列,25.0,25.0,-1.48,0.61,1.03
2025-07,FWD100,银白系列,25.0,24.25,-2.16,0.64,1.27
2025-08,FWD100,银白系列,25.0,28.5,-1.26,0.94,1.06
2025-09,FWD100,银白系列,25.0,27.5,-1.98,1.74,1.12
2025-10,FWD100,银白系列,25.0,23.25,-1.05,1.24,1.0
2025-11,FWD100,银白系列,25.0,28.0,-1.91,0.57,1.15
2024-10,FWD101,银白系列,25.0,21.25,-2.71,1.67,0.81
2024-11,FWD101,银白系列,25.0,22.0,-2.89,1.99,1.06
2024-12,FWD101,银白系列,25.0,24.0,-2.49,1.83,0.84
2025-01,FWD101,银白系列,25.0,20.25,-0.82,0.73,1.03
2025-02,FWD101,银白系列,25.0,27.5,-2.2,0.65,0.89
2025-03,FWD101,银白系列,25.0,29.0,-2.45,1.03,1.21
2025-04,FWD101,银白系列,25.0,21.75,-1.73,1.36,1.04
2025-05,FWD101,银白系列,25.0,24.25,-0.88,1.34,1.25
2025-06,FWD101,银白系列,25.0,29.75,-1.45,1.75,0.95
2025-07,FWD101,银白系列,25.0,21.25,-0.59,0.96,1.08
2025-08,FWD101,银白系列,25.0,29.75,-1.02,1.67,0.97
2025-09,FWD101,银白系列,25.0,28.75,-2.41,1.87,1.17
2025-10,FWD101,银白系列,25.0,24.0,-1.68,0.82,1.12
2025-11,FWD101,银白系列,25.0,21.25,-1.46,0.65,0.99
2024-10,FWD103,银白系列,29.0,23.49,-1.27,1.73,1.05
2024-11,FWD103,银白系列,29.0,29.87,-0.52,0.6,0.94
2024-12,FWD103,银白系列,29.0,33.93,-1.56,1.57,1.03
2025-01,FWD103,银白系列,29.0,32.48,-2.36,1.1,1.1
2025-02,FWD103,银白系列,29.0,34.22,-1.57,1.13,1.11
2025-03,FWD103,银白系列,29.0,33.35,-0.98,1.49,1.22
2025-04,FWD103,银白系列,29.0,31.9,-1.4,1.62,1.14
2025-05,FWD103,银白系列,29.0,33.06,-1.1,0.63,1.06
2025-06,FWD103,银白系列,29.0,32.19,-2.64,1.37,1.12
2025-07,FWD103,银白系列,29.0,24.94,-1.58,1.35,0.95
2025-08,FWD103,银白系列,29.0,33.35,-1.07,1.35,1.2
2025-09,FWD103,银白系列,29.0,34.22,-0.86,1.84,0.85
2025-10,FWD103,银白系列,29.0,32.48,-0.9,0.83,1.19
2025-11,FWD103,银白系列,29.0,28.13,-1.06,1.35,1.28
2024-10,FWD110,银白系列,27.0,28.35,-2.86,0.53,1.08
2024-11,FWD110,银白系列,27.0,28.62,-2.61,1.19,1.01
2024-12,FWD110,银白系列,27.0,28.62,-0.77,0.76,0.91
2025-01,FWD110,银白系列,27.0,32.4,-1.6,0.84,1.1
2025-02,FWD110,银白系列,27.0,28.89,-2.19,1.86,1.13
2025-03,FWD110,银白系列,27.0,27.27,-0.75,1.49,1.08
2025-04,FWD110,银白系列,27.0,30.51,-2.96,0.93,0.8
2025-05,FWD110,银白系列,27.0,25.92,-2.14,1.5,1.29
2025-06,FWD110,银白系列,27.0,27.81,-0.74,1.15,0.81
2025-07,FWD110,银白系列,27.0,29.97,-0.99,1.11,1.18
2025-08,FWD110,银白系列,27.0,23.22,-1.64,1.49,0.85
2025-09,FWD110,银白系列,27.0,27.81,-1.62,1.02,1.12
2025-10,FWD110,银白系列,27.0,24.03,-0.69,1.34,1.2
2025-11,FWD110,银白系列,27.0,30.51,-2.75,1.82,1.18
2024-10,FWD111,银白系列,29.0,26.97,-0.98,1.01,1.26
2024-11,FWD111,银白系列,29.0,33.06,-2.7,1.67,1.0
2024-12,FWD111,银白系列,29.0,30.16,-2.63,1.66,1.22
2025-01,FWD111,银白系列,29.0,33.64,-2.32,1.78,1.22
2025-02,FWD111,银白系列,29.0,31.9,-2.59,0.5,1.13
2025-03,FWD111,银白系列,29.0,30.16,-1.72,1.86,0.99
