campaign_id,sku,category,original_price,promo_price,discount_rate,promo_qty_sold,promo_revenue
CAMP0001,FWD5800D,钻石系列,120.0,87.6,0.27,49,17607.6
CAMP0001,FWD103TWR,耐候系列,60.0,47.4,0.21,173,13509.0
CAMP0001,FWD211,虹彩系列,37.5,34.88,0.07,386,2545.88
CAMP0001,FWD111WR,耐候系列,60.0,45.0,0.25,260,9225.0
CAMP0001,FWD221,虹彩系列,37.5,31.12,0.17,23,591.38
CAMP0001,BHC9232MGH,化妆品系列,220.0,160.6,0.27,170,66006.6
CAMP0001,BHC89237BG,着色变色龙,500.0,410.0,0.18,233,31160.0
CAMP0001,FWD530,金属彩光系列,34.0,28.9,0.15,263,2051.9
CAMP0001,FWD5800,钻石系列,135.0,105.3,0.22,313,17163.9
CAMP0001,BHC89232BR,着色变色龙,500.0,370.0,0.26,315,139860.0
CAMP0001,FWD6225,水晶系列,55.0,50.05,0.09,303,8608.6
CAMP0001,FWD249,虹彩系列,37.5,31.12,0.17,260,8466.0
CAMP0001,FWD5874A,钻石系列,280.0,229.6,0.18,288,35128.8
CAMP0001,FWDV080B,玻璃包银系列,4230.0,3468.6,0.18,8,652096.8
CAMP0001,FWD504WR,耐候系列,90.0,70.2,0.22,56,14952.6
CAMP0001,BHC9328GR,玻璃变色龙,500.0,425.0,0.15,407,195500.0
CAMP0001,FWD6205,水晶系列,55.0,48.4,0.12,352,15584.8
CAMP0001,FWD401,着色系列,44.0,31.24,0.29,242,4217.4
CAMP0002,BHC9275BOH,化妆品系列,220.0,209.0,0.05,244,56221.0
CAMP0002,BHC9237GRH,化妆品系列,220.0,173.8,0.21,489,15294.4
CAMP0002,FWD6003T,超白系列,37.5,30.38,0.19,272,5315.63
CAMP0002,FWD221,虹彩系列,37.5,31.5,0.16,346,12442.5
CAMP0002,FWDV015,玻璃包银系列,8010.0,7369.2,0.08,348,2424466.8
CAMP0002,FWD500,金属彩光系列,34.0,30.6,0.1,135,9547.2
CAMP0002,FWD7504,其他,100.0,82.0,0.18,490,10332.0
CAMP0002,FWD5871A,钻石系列,280.0,215.6,0.23,152,24794.0
CAMP0002,FWD419B,着色系列,60.0,56.4,0.06,152,22221.6
CAMP0002,FWD6163,超白系列,37.5,28.88,0.23,106,10192.88
CAMP0002,FWD163,银白系列,25.0,22.0,0.12,162,5390.0
CAMP0002,BHC9234BOH,化妆品系列,220.0,173.8,0.21,478,83076.4
CAMP0002,FWD362,金色系列,37.5,33.75,0.1,140,4961.25
CAMP0002,FWD524,金属彩光系列,34.0,24.82,0.27,346,6899.96
CAMP0002,FWD122,银白系列,30.0,23.7,0.21,202,9930.3
CAMP0002,FWD323WR,耐候系列,90.0,71.1,0.21,395,29222.1
CAMP0002,FWDD25L,钻石系列,280.0,207.2,0.26,21,30458.4
CAMP0002,FWD221WR,耐候系列,90.0,84.6,0.06,40,14974.2
CAMP0002,FWD424,着色系列,60.0,55.8,0.07,335,7309.8
CAMP0002,FWD201WR,耐候系列,90.0,80.1,0.11,109,8250.3
CAMP0002,FWD3502,金属彩光系列,34.0,30.94,0.09,138,14758.38
CAMP0002,FWD101WR,耐候系列,60.0,50.4,0.16,139,3528.0
CAMP0002,FWDV040B,玻璃包银系列,5850.0,4270.5,0.27,379,1281150.0
CAMP0002,FWD8205WR,耐候系列,220.0,167.2,0.24,25,57182.4
CAMP0002,FWD259,虹彩系列,37.5,34.88,0.07,115,11369.25
CAMP0002,FWD411,着色系列,60.0,45.6,0.24,51,9621.6
CAMP0002,FWD7351,其他,60.0,46.8,0.22,241,2386.8
CAMP0002,FWD5516,金属彩光系列,60.0,52.2,0.13,70,104.4
CAMP0002,BHC89237BG,着色变色龙,500.0,470.0,0.06,500,223250.0
CAMP0002,FWDD23M,钻石系列,280.0,207.2,0.26,334,99041.6
CAMP0003,FWD901KSW,耐候系列,130.0,105.3,0.19,328,29273.4
CAMP0003,FWD535,金属彩光系列,34.0,28.22,0.17,455,13545.6
CAMP0003,FWD6225,水晶系列,55.0,40.15,0.27,258,9595.85
CAMP0003,FWDD10M,钻石系列,120.0,92.4,0.23,414,5266.8
CAMP0003,FWD6224,水晶系列,55.0,42.9,0.22,374,10038.6
CAMP0003,FWD235,虹彩系列,37.5,32.25,0.14,367,3063.75
CAMP0003,FWD307,金色系列,37.5,26.25,0.3,172,10605.0
CAMP0003,BHC9234BOH,化妆品系列,220.0,169.4,0.23,345,65557.8
CAMP0003,FWD6005T,超白系列,37.5,28.12,0.25,312,12318.75
CAMP0003,BHC9337GP,玻璃变色龙,500.0,430.0,0.14,207,181890.0
CAMP0003,FWD205,虹彩系列,37.5,30.38,0.19,167,1336.5
CAMP0003,FWD503,金属彩光系列,34.0,27.2,0.2,48,2556.8
CAMP0003,FWD223WR,耐候系列,90.0,85.5,0.05,244,14107.5
CAMP0003,FWD504,金属彩光系列,34.0,31.62,0.07,3,4205.46
CAMP0003,FWD201,虹彩系列,37.5,30.0,0.2,228,11550.0
CAMP0003,FWD6603B,磁性珠光,250.0,192.5,0.23,168,29645.0
CAMP0003,FWDV220,玻璃包银系列,1410.0,1198.5,0.15,293,5992.5
CAMP0003,FWD520,金属彩光系列,34.0,26.18,0.23,184,9267.72
CAMP0003,FWD6235,水晶系列,55.0,41.8,0.24,341,2508.0
CAMP0003,FWD111,银白系列,29.0,23.78,0.18,81,4922.46
CAMP0003,FWD6502A,水晶系列,55.0,47.85,0.13,472,21915.3
CAMP0003,BHC9230YBH,化妆品系列,220.0,202.4,0.08,394,32181.6
CAMP0003,FWD353,金色系列,37.5,32.62,0.13,327,15301.12
CAMP0003,FWDD10X,钻石系列,120.0,112.8,0.06,188,35419.2
