supplier_id,month,promised_days,actual_days,on_time,delay_days
SUP001,2024-10,19,22,True,3
SUP001,2024-10,57,54,True,0
SUP001,2024-10,78,80,True,2
SUP001,2024-10,79,91,False,12
SUP001,2024-11,14,14,True,0
SUP001,2024-11,30,29,True,0
SUP001,2024-11,82,84,True,2
SUP001,2024-11,90,89,True,0
SUP001,2024-11,22,35,False,13
SUP001,2024-11,44,42,True,0
SUP001,2024-12,41,44,True,3
SUP001,2024-12,40,40,True,0
SUP001,2024-12,59,62,True,3
SUP001,2024-12,84,86,True,2
SUP001,2025-01,34,39,False,5
SUP001,2025-02,61,63,True,2
SUP001,2025-03,77,86,False,9
SUP001,2025-03,71,68,True,0
SUP001,2025-03,41,44,True,3
SUP001,2025-03,49,46,True,0
SUP001,2025-03,83,82,True,0
SUP001,2025-04,46,48,True,2
SUP001,2025-04,35,37,True,2
SUP001,2025-05,19,20,True,1
SUP001,2025-05,78,91,False,13
SUP001,2025-05,16,19,True,3
SUP001,2025-05,70,73,True,3
SUP001,2025-05,67,64,True,0
SUP001,2025-06,85,87,True,2
SUP001,2025-07,28,28,True,0
SUP001,2025-07,44,45,True,1
SUP001,2025-07,86,84,True,0
SUP001,2025-07,26,24,True,0
SUP001,2025-08,73,72,True,0
SUP001,2025-08,39,38,True,0
SUP001,2025-08,30,33,True,3
SUP001,2025-08,83,86,True,3
SUP001,2025-09,34,31,True,0
SUP001,2025-09,20,19,True,0
SUP001,2025-09,87,90,True,3
SUP001,2025-10,83,81,True,0
SUP001,2025-10,57,54,True,0
SUP001,2025-10,37,37,True,0
SUP001,2025-10,48,50,True,2
SUP001,2025-10,81,80,True,0
SUP001,2025-10,76,89,False,13
SUP001,2025-11,43,45,True,2
SUP001,2025-11,85,91,False,6
SUP001,2025-11,34,33,True,0
SUP002,2024-10,28,29,True,1
SUP002,2024-10,31,33,True,2
SUP002,2024-10,79,79,True,0
SUP002,2024-11,49,49,True,0
SUP002,2024-11,73,71,True,0
SUP002,2024-11,76,76,True,0
SUP002,2024-11,39,42,True,3
SUP002,2024-12,14,17,True,3
SUP002,2024-12,24,27,True,3
SUP002,2024-12,60,60,True,0
SUP002,2025-01,46,49,True,3
SUP002,2025-02,43,41,True,0
SUP002,2025-02,46,47,True,1
SUP002,2025-02,28,29,True,1
SUP002,2025-02,85,88,True,3
SUP002,2025-03,63,62,True,0
SUP002,2025-03,51,53,True,2
SUP002,2025-03,77,75,True,0
SUP002,2025-04,47,44,True,0
SUP002,2025-04,32,30,True,0
SUP002,2025-05,20,23,True,3
SUP002,2025-06,42,39,True,0
SUP002,2025-07,52,51,True,0
SUP002,2025-07,61,61,True,0
SUP002,2025-08,35,35,True,0
SUP002,2025-08,41,40,True,0
SUP002,2025-08,50,47,True,0
SUP002,2025-08,56,55,True,0
SUP002,2025-08,75,74,True,0
SUP002,2025-08,16,14,True,0
SUP002,2025-08,43,44,True,1
SUP002,2025-09,64,64,True,0
SUP002,2025-09,24,23,True,0
SUP002,2025-10,76,79,True,3
SUP002,2025-11,76,76,True,0
SUP002,2025-11,42,41,True,0
SUP002,2025-11,32,32,True,0
SUP003,2024-10,41,43,True,2
SUP003,2024-10,83,80,True,0
SUP003,2024-10,40,50,False,10
SUP003,2024-10,39,42,True,3
SUP003,2024-10,33,33,True,0
SUP003,2024-10,21,20,True,0
SUP003,2024-10,44,42,True,0
SUP003,2024-11,51,51,True,0
SUP003,2024-11,59,58,True,0
SUP003,2024-11,37,38,True,1
SUP003,2024-11,20,22,True,2
SUP003,2024-11,45,46,True,1
SUP003,2024-11,26,28,True,2
SUP003,2024-11,49,51,True,2
SUP003,2024-11,17,19,True,2
SUP003,2024-12,46,47,True,1
SUP003,2024-12,80,80,True,0
SUP003,2025-01,76,79,True,3
SUP003,2025-01,48,45,True,0
SUP003,2025-01,89,91,True,2
SUP003,2025-01,49,46,True,0
SUP003,2025-02,39,37,True,0
SUP003,2025-02,51,51,True,0
SUP003,2025-03,23,23,True,0
SUP003,2025-03,26,25,True,0
SUP003,2025-03,47,50,True,3
SUP003,2025-04,74,77,True,3
SUP003,2025-04,55,58,True,3
SUP003,2025-04,64,66,True,2
SUP003,2025-04,84,83,True,0
SUP003,2025-05,59,59,True,0
SUP003,2025-05,28,34,False,6
SUP003,2025-06,46,44,True,0
SUP003,2025-06,38,38,True,0
SUP003,2025-06,67,68,True,1
SUP003,2025-06,60,62,True,2
SUP003,2025-06,47,44,True,0
SUP003,2025-06,79,77,True,0
SUP003,2025-06,71,73,True,2
SUP003,2025-06,71,71,True,0
SUP003,2025-07,88,89,True,1
SUP003,2025-07,33,38,False,5
SUP003,2025-07,76,74,True,0
SUP003,2025-07,43,45,True,2
SUP003,2025-07,43,46,True,3
SUP003,2025-07,39,37,True,0
SUP003,2025-08,28,27,True,0
SUP003,2025-08,64,64,True,0
SUP003,2025-08,21,18,True,0
SUP003,2025-08,56,59,True,3
SUP003,2025-08,16,19,True,3
SUP003,2025-08,83,83,True,0
SUP003,2025-08,41,38,True,0
SUP003,2025-08,20,19,True,0
SUP003,2025-09,77,76,True,0
SUP003,2025-09,51,51,True,0
SUP003,2025-09,64,63,True,0
SUP003,2025-09,32,29,True,0
SUP003,2025-09,80,77,True,0
SUP003,2025-09,35,36,True,1
SUP003,2025-10,49,50,True,1
SUP003,2025-10,41,43,True,2
SUP003,2025-10,88,89,True,1
SUP003,2025-10,64,67,True,3
SUP003,2025-10,90,89,True,0
SUP003,2025-10,42,45,True,3
SUP003,2025-10,57,55,True,0
SUP003,2025-10,27,26,True,0
SUP003,2025-11,67,67,True,0
SUP003,2025-11,72,73,True,1
SUP003,2025-11,82,84,True,2
SUP004,2024-10,66,63,True,0
SUP004,2024-10,25,22,True,0
SUP004,2024-10,88,88,True,0
SUP004,2024-11,42,40,True,0
SUP004,2024-11,29,31,True,2
SUP004,2024-11,72,72,True,0
SUP004,2024-11,58,61,True,3
SUP004,2024-11,22,22,True,0
SUP004,2024-11,75,72,True,0
SUP004,2024-11,49,47,True,0
SUP004,2024-11,70,70,True,0
SUP004,2024-12,90,90,True,0
SUP004,2024-12,31,29,True,0
SUP004,2024-12,48,48,True,0
SUP004,2024-12,20,18,True,0
SUP004,2024-12,18,18,True,0
SUP004,2024-12,89,87,True,0
SUP004,2024-12,40,42,True,2
SUP004,2024-12,85,82,True,0
SUP004,2025-01,78,76,True,0
SUP004,2025-01,60,58,True,0
SUP004,2025-01,37,38,True,1
SUP004,2025-01,72,75,True,3
SUP004,2025-01,27,25,True,0
SUP004,2025-01,63,66,True,3
SUP004,2025-01,87,87,True,0
SUP004,2025-01,42,44,True,2
SUP004,2025-02,20,22,True,2
SUP004,2025-02,73,72,True,0
SUP004,2025-03,80,77,True,0
SUP004,2025-03,18,18,True,0
SUP004,2025-03,47,49,True,2
SUP004,2025-03,89,87,True,0
SUP004,2025-03,65,68,True,3
SUP004,2025-03,26,26,True,0
SUP004,2025-03,33,35,True,2
SUP004,2025-04,83,81,True,0
SUP004,2025-05,83,100,False,17
SUP004,2025-05,43,43,True,0
SUP004,2025-05,76,76,True,0
SUP004,2025-05,43,43,True,0
SUP004,2025-05,43,41,True,0
SUP004,2025-05,74,71,True,0
SUP004,2025-05,16,16,True,0
SUP004,2025-06,61,58,True,0
SUP004,2025-06,85,87,True,2
SUP004,2025-06,39,37,True,0
SUP004,2025-06,78,75,True,0
SUP004,2025-06,22,20,True,0
SUP004,2025-06,83,80,True,0
SUP004,2025-07,90,90,True,0
SUP004,2025-07,75,76,True,1
SUP004,2025-07,78,79,True,1
SUP004,2025-07,65,66,True,1
SUP004,2025-07,36,38,True,2
SUP004,2025-07,22,21,True,0
SUP004,2025-07,19,20,True,1
SUP004,2025-07,14,15,True,1
SUP004,2025-08,32,30,True,0
SUP004,2025-09,51,51,True,0
SUP004,2025-09,24,24,True,0
SUP004,2025-09,55,57,True,2
SUP004,2025-09,60,60,True,0
SUP004,2025-09,66,83,False,17
SUP004,2025-10,77,76,True,0
SUP004,2025-10,41,42,True,1
SUP004,2025-10,39,40,True,1
SUP004,2025-10,36,38,True,2
SUP004,2025-10,80,81,True,1
SUP004,2025-10,87,85,True,0
SUP004,2025-11,90,90,True,0
SUP004,2025-11,46,45,True,0
SUP004,2025-11,71,70,True,0
SUP004,2025-11,35,38,True,3
SUP004,2025-11,54,53,True,0
SUP004,2025-11,21,23,True,2
SUP004,2025-11,72,75,True,3
SUP005,2024-10,52,49,True,0
SUP005,2024-10,31,34,True,3
SUP005,2024-10,63,66,True,3
SUP005,2024-10,32,32,True,0
SUP005,2024-10,72,75,True,3
SUP005,2024-10,46,54,False,8
SUP005,2024-11,68,65,True,0
SUP005,2024-11,76,78,True,2
SUP005,2024-12,19,16,True,0
SUP005,2024-12,71,71,True,0
SUP005,2025-01,63,69,False,6
SUP005,2025-01,20,17,True,0
SUP005,2025-01,17,15,True,0
SUP005,2025-01,69,67,True,0
SUP005,2025-01,41,39,True,0
SUP005,2025-01,45,43,True,0
SUP005,2025-01,32,31,True,0
SUP005,2025-02,35,50,False,15
SUP005,2025-02,65,67,True,2
SUP005,2025-03,32,29,True,0
SUP005,2025-03,35,38,True,3
SUP005,2025-04,87,84,True,0
SUP005,2025-05,86,85,True,0
SUP005,2025-05,47,46,True,0
SUP005,2025-05,54,57,True,3
SUP005,2025-05,63,65,True,2
SUP005,2025-06,67,68,True,1
SUP005,2025-06,55,56,True,1
SUP005,2025-06,36,37,True,1
SUP005,2025-06,75,75,True,0
SUP005,2025-07,21,32,False,11
SUP005,2025-07,26,24,True,0
SUP005,2025-07,15,14,True,0
SUP005,2025-08,36,35,True,0
SUP005,2025-08,81,80,True,0
SUP005,2025-08,71,73,True,2
SUP005,2025-08,88,85,True,0
SUP005,2025-09,90,92,True,2
SUP005,2025-09,84,85,True,1
SUP005,2025-09,30,33,True,3
SUP005,2025-09,74,73,True,0
SUP005,2025-09,52,52,True,0
SUP005,2025-09,26,24,True,0
SUP005,2025-09,68,69,True,1
SUP005,2025-10,63,64,True,1
SUP005,2025-11,79,76,True,0
SUP005,2025-11,38,36,True,0
SUP005,2025-11,72,72,True,0
SUP005,2025-11,18,20,True,2
SUP005,2025-11,83,82,True,0
SUP005,2025-11,23,24,True,1
SUP005,2025-11,57,60,True,3
SUP005,2025-11,46,65,False,19
SUP006,2024-10,43,43,True,0
SUP006,2024-11,39,40,True,1
SUP006,2024-11,14,13,True,0
SUP006,2024-11,25,28,True,3
SUP006,2024-11,38,41,True,3
SUP006,2024-11,67,69,True,2
SUP006,2024-11,53,50,True,0
SUP006,2024-11,15,18,True,3
SUP006,2024-11,31,34,True,3
SUP006,2024-12,15,17,True,2
SUP006,2024-12,84,100,False,16
SUP006,2024-12,83,85,True,2
SUP006,2025-01,42,42,True,0
SUP006,2025-01,81,79,True,0
SUP006,2025-01,52,49,True,0
SUP006,2025-01,22,22,True,0
SUP006,2025-02,64,67,True,3
SUP006,2025-02,76,78,True,2
SUP006,2025-02,54,56,True,2
SUP006,2025-02,46,46,True,0
SUP006,2025-02,22,20,True,0
SUP006,2025-03,36,34,True,0
SUP006,2025-03,28,28,True,0
SUP006,2025-04,46,63,False,17
SUP006,2025-04,28,25,True,0
SUP006,2025-04,43,45,True,2
SUP006,2025-05,18,17,True,0
SUP006,2025-05,63,62,True,0
SUP006,2025-05,29,27,True,0
SUP006,2025-05,76,73,True,0
SUP006,2025-06,86,86,True,0
SUP006,2025-06,56,54,True,0
SUP006,2025-06,37,39,True,2
SUP006,2025-06,14,17,True,3
SUP006,2025-06,27,30,True,3
SUP006,2025-06,54,55,True,1
SUP006,2025-06,88,89,True,1
SUP006,2025-07,19,17,True,0
SUP006,2025-07,23,21,True,0
SUP006,2025-07,73,75,True,2
SUP006,2025-07,55,52,True,0
SUP006,2025-08,79,76,True,0
SUP006,2025-08,77,76,True,0
SUP006,2025-08,38,36,True,0
SUP006,2025-08,78,81,True,3
SUP006,2025-09,56,57,True,1
SUP006,2025-09,61,62,True,1
SUP006,2025-09,70,68,True,0
SUP006,2025-09,82,81,True,0
SUP006,2025-09,83,84,True,1
SUP006,2025-10,29,32,True,3
SUP006,2025-10,19,17,True,0
SUP006,2025-10,74,72,True,0
SUP006,2025-10,51,51,True,0
SUP006,2025-11,60,62,True,2
SUP006,2025-11,26,29,True,3
SUP006,2025-11,21,39,False,18
SUP006,2025-11,58,61,True,3
SUP006,2025-11,34,31,True,0
SUP006,2025-11,18,19,True,1
SUP006,2025-11,56,56,True,0
SUP007,2024-10,56,56,True,0
SUP007,2024-10,74,76,True,2
SUP007,2024-11,70,68,True,0
SUP007,2024-11,48,51,True,3
SUP007,2024-11,30,32,True,2
SUP007,2024-11,82,83,True,1
SUP007,2024-11,22,20,True,0
SUP007,2024-11,41,43,True,2
SUP007,2024-12,37,38,True,1
SUP007,2024-12,65,68,True,3
SUP007,2024-12,59,58,True,0
SUP007,2024-12,19,18,True,0
SUP007,2024-12,55,56,True,1
SUP007,2024-12,56,59,True,3
SUP007,2025-01,63,62,True,0
SUP007,2025-02,88,88,True,0
SUP007,2025-02,79,80,True,1
SUP007,2025-02,88,89,True,1
SUP007,2025-02,83,82,True,0
SUP007,2025-03,14,12,True,0
SUP007,2025-03,63,60,True,0
SUP007,2025-03,87,88,True,1
SUP007,2025-03,53,55,True,2
SUP007,2025-03,30,31,True,1
SUP007,2025-04,37,57,False,20
SUP007,2025-05,77,78,True,1
SUP007,2025-05,78,77,True,0
SUP007,2025-05,43,44,True,1
SUP007,2025-05,42,42,True,0
SUP007,2025-05,73,72,True,0
SUP007,2025-05,32,33,True,1
SUP007,2025-05,31,32,True,1
SUP007,2025-05,53,56,True,3
SUP007,2025-06,71,68,True,0
SUP007,2025-06,42,40,True,0
SUP007,2025-06,45,44,True,0
SUP007,2025-07,16,13,True,0
SUP007,2025-07,68,67,True,0
SUP007,2025-07,36,34,True,0
SUP007,2025-07,28,31,True,3
SUP007,2025-07,55,54,True,0
SUP007,2025-08,79,76,True,0
SUP007,2025-08,32,35,True,3
SUP007,2025-08,66,63,True,0
SUP007,2025-08,23,24,True,1
SUP007,2025-08,25,25,True,0
SUP007,2025-09,45,45,True,0
SUP007,2025-09,88,88,True,0
SUP007,2025-10,15,30,False,15
SUP007,2025-10,26,28,True,2
SUP007,2025-10,64,62,True,0
SUP007,2025-10,77,76,True,0
SUP007,2025-11,45,47,True,2
SUP008,2024-10,15,12,True,0
SUP008,2024-10,27,27,True,0
SUP008,2024-10,85,85,True,0
SUP008,2024-10,40,43,True,3
SUP008,2024-10,53,50,True,0
SUP008,2024-11,57,54,True,0
SUP008,2024-11,24,21,True,0
SUP008,2024-11,46,44,True,0
SUP008,2024-11,81,99,False,18
SUP008,2024-11,68,67,True,0
SUP008,2024-12,51,52,True,1
SUP008,2024-12,78,76,True,0
SUP008,2024-12,62,65,True,3
SUP008,2024-12,33,32,True,0
SUP008,2024-12,80,80,True,0
SUP008,2024-12,78,76,True,0
SUP008,2024-12,24,25,True,1
SUP008,2025-01,81,84,True,3
SUP008,2025-02,22,22,True,0
SUP008,2025-03,79,76,True,0
SUP008,2025-03,34,37,True,3
SUP008,2025-04,30,30,True,0
SUP008,2025-04,73,71,True,0
