po_id,po_date,month,supplier_id,sku,category,qty_ordered,unit_cost_rmb,total_cost_rmb,expected_date,actual_date,status,defect_qty
PO00001,2025-03-01,2025-03,SUP001,FWD101,银白系列,4160,18.56,77220.0,2025-05-14,2025-05-26,待发货,19
PO00002,2025-07-10,2025-07,SUP030,FWD6683T,磁性珠光,1720,243.0,417960.0,2025-10-05,2025-10-12,待发货,13
PO00003,2025-09-14,2025-09,SUP001,FWD224,虹彩系列,2047,28.41,58147.59,2025-10-14,2025-10-19,待发货,11
PO00004,2024-11-20,2024-11,SUP018,BHC89230GY,着色变色龙,2389,401.25,958586.25,2025-01-05,2025-01-05,已收货,11
PO00005,2025-07-11,2025-07,SUP053,FWD3302,金色系列,1706,30.94,52779.38,2025-09-06,2025-09-07,已收货,10
PO00006,2025-07-03,2025-07,SUP014,FWD6501,水晶系列,888,42.08,37362.6,2025-08-30,2025-09-05,已收货,1
PO00007,2024-10-20,2024-10,SUP044,FWDV550,玻璃包银系列,2628,933.38,2452909.5,2024-12-25,2024-12-27,在途,7
PO00008,2025-04-25,2025-04,SUP017,FWD111M,银白系列,2845,23.27,66210.26,2025-06-23,2025-06-20,在途,7
PO00009,2025-05-05,2025-05,SUP056,FWD6009,超白系列,2236,30.04,67163.85,2025-06-06,2025-06-16,待发货,14
PO00010,2025-11-02,2025-11,SUP035,FWD502,金属彩光系列,1873,26.52,49671.96,2025-12-11,2025-12-09,已收货,16
PO00011,2024-11-15,2024-11,SUP023,FWD001,其他,4771,85.05,405773.55,2024-12-07,2024-12-11,在途,47
PO00012,2025-08-28,2025-08,SUP011,FWD413,着色系列,1083,39.15,42399.45,2025-10-21,2025-10-30,已收货,9
PO00013,2025-04-08,2025-04,SUP039,FWD6001,超白系列,676,24.75,16731.0,2025-06-24,2025-06-25,已收货,0
PO00014,2024-10-18,2024-10,SUP004,FWD103TWR,耐候系列,1426,51.3,73153.8,2025-01-04,2025-01-12,已收货,12
PO00015,2025-07-09,2025-07,SUP035,FWD151,银白系列,2024,20.44,41365.5,2025-07-26,2025-07-24,待发货,0
PO00016,2025-01-23,2025-01,SUP046,FWD6502A,水晶系列,4582,47.02,215468.55,2025-03-31,2025-03-28,已收货,2
PO00017,2024-12-03,2024-12,SUP017,FWD425,着色系列,2594,39.15,101555.1,2025-02-19,2025-02-14,待发货,2
PO00018,2025-05-02,2025-05,SUP005,FWD7351,其他,2244,51.3,115117.2,2025-06-02,2025-06-10,待发货,15
PO00019,2025-06-15,2025-06,SUP039,FWD510,金属彩光系列,626,23.71,14845.59,2025-07-23,2025-08-05,在途,6
PO00020,2025-11-01,2025-11,SUP042,FWD405B,着色系列,268,30.69,8224.92,2025-12-11,2025-12-15,在途,1
PO00021,2025-01-24,2025-01,SUP003,FWDD10L,钻石系列,2602,80.1,208420.2,2025-03-05,2025-03-13,已收货,2
PO00022,2025-11-02,2025-11,SUP001,FWD6501,水晶系列,3336,35.06,116968.5,2025-11-18,2025-12-03,已收货,7
PO00023,2025-01-04,2025-01,SUP048,FWDD21X,钻石系列,3101,178.12,552365.62,2025-02-17,2025-02-26,待发货,19
PO00024,2024-12-02,2024-12,SUP039,FWD419B,着色系列,1147,47.25,54195.75,2025-02-14,2025-02-20,在途,11
PO00025,2025-05-05,2025-05,SUP005,FWDV095,玻璃包银系列,3194,1749.45,5587743.3,2025-05-29,2025-06-09,待发货,31
PO00026,2025-09-18,2025-09,SUP029,FWDV150,玻璃包银系列,3569,1900.8,6783955.2,2025-11-29,2025-12-05,已收货,13
PO00027,2025-06-16,2025-06,SUP039,FWD301,金色系列,1155,30.66,35407.97,2025-08-28,2025-09-09,已收货,8
PO00028,2025-07-08,2025-07,SUP031,FWD430,着色系列,441,41.85,18455.85,2025-09-18,2025-09-20,已收货,2
PO00029,2025-03-04,2025-03,SUP033,FWD6850,水晶系列,2713,60.56,164306.06,2025-06-01,2025-06-09,待发货,25
PO00030,2025-11-03,2025-11,SUP036,FWD6002T,超白系列,2398,24.75,59350.5,2026-01-14,2026-01-09,在途,18
PO00031,2025-08-13,2025-08,SUP051,FWD205A,虹彩系列,2131,29.25,62331.75,2025-10-05,2025-10-03,已收货,15
PO00032,2025-10-11,2025-10,SUP007,FWDD28M,钻石系列,1678,235.2,394665.6,2025-12-29,2026-01-10,已收货,7
PO00033,2025-08-13,2025-08,SUP053,FWD163,银白系列,3063,21.0,64323.0,2025-09-13,2025-09-17,待发货,6
PO00034,2025-10-08,2025-10,SUP037,FWD509,金属彩光系列,3770,22.18,83637.45,2026-01-04,2026-01-09,已收货,1
PO00035,2025-04-08,2025-04,SUP001,FWDD25L,钻石系列,3544,235.2,833548.8,2025-06-27,2025-06-26,已收货,29
PO00036,2025-08-03,2025-08,SUP018,FWD532,金属彩光系列,3857,26.01,100320.57,2025-10-01,2025-10-01,已收货,22
PO00037,2025-03-22,2025-03,SUP018,FWDD21X,钻石系列,1894,196.88,372881.25,2025-05-19,2025-05-23,已收货,14
PO00038,2025-10-17,2025-10,SUP033,FWD201WR,耐候系列,3835,66.83,256273.88,2026-01-14,2026-01-25,待发货,37
PO00039,2024-12-21,2024-12,SUP030,FWD353,金色系列,356,30.09,10713.38,2025-01-21,2025-01-20,已收货,2
PO00040,2024-10-25,2024-10,SUP051,FWDV220,玻璃包银系列,657,1216.12,798994.12,2024-12-17,2024-12-17,已收货,3
PO00041,2024-11-23,2024-11,SUP001,FWD5800D,钻石系列,4128,90.9,375235.2,2025-02-01,2025-02-04,已收货,1
PO00042,2025-09-10,2025-09,SUP034,FWD219WR,耐候系列,3449,67.5,232807.5,2025-12-03,2025-12-11,已收货,17
PO00043,2024-12-14,2024-12,SUP032,FWD6500A,水晶系列,2562,45.38,116250.75,2025-01-13,2025-01-09,已收货,18
PO00044,2025-06-14,2025-06,SUP008,FWD304,金色系列,1041,30.66,31913.16,2025-08-27,2025-09-07,在途,7
PO00045,2025-10-01,2025-10,SUP050,FWD6163,超白系列,1386,26.72,37032.19,2025-11-13,2025-11-09,已收货,10
PO00046,2025-02-08,2025-02,SUP054,FWD5518WR,耐候系列,2101,80.1,168290.1,2025-02-25,2025-03-04,在途,16
PO00047,2025-07-20,2025-07,SUP041,FWD6881,水晶系列,590,44.55,26284.5,2025-10-03,2025-09-29,已收货,1
PO00048,2025-06-04,2025-06,SUP033,FWD351WR,耐候系列,4972,74.93,372527.1,2025-08-16,2025-08-29,待发货,9
PO00049,2025-02-13,2025-02,SUP019,FWD430,着色系列,2423,44.55,107944.65,2025-05-11,2025-05-22,已收货,3
PO00050,2025-08-07,2025-08,SUP019,FWD320,金色系列,4291,27.56,118270.69,2025-08-28,2025-08-30,已收货,15
PO00051,2024-11-27,2024-11,SUP007,FWD5893,钻石系列,3204,204.38,654817.5,2025-01-13,2025-01-24,已收货,10
PO00052,2025-05-12,2025-05,SUP016,FWD303,金色系列,3988,24.47,97581.38,2025-08-10,2025-08-13,已收货,29
