month,sku,category,supplier_id,unit_cost_rmb,currency,exchange_rate,tariff_rate,landed_cost_rmb
2024-10,FWD100,银白系列,SUP017,19.125,CNY,6.81,0.1,20.4638
2024-11,FWD100,银白系列,SUP050,18.0,CNY,6.9,0.01,18.54
2024-12,FWD100,银白系列,SUP040,19.125,CNY,7.29,0.03,20.0813
2025-01,FWD100,银白系列,SUP019,19.3125,CNY,7.19,0.01,21.4369
2025-02,FWD100,银白系列,SUP056,18.5625,CNY,7.09,0.13,20.4188
2025-03,FWD100,银白系列,SUP050,19.5,CNY,7.04,0.11,21.45
2025-04,FWD100,银白系列,SUP049,18.1875,CNY,6.99,0.06,18.915
2025-05,FWD100,银白系列,SUP035,19.125,CNY,7.19,0.07,21.0375
2025-06,FWD100,银白系列,SUP003,19.125,CNY,7.03,0.1,20.2725
2025-07,FWD100,银白系列,SUP002,18.0,CNY,7.26,0.1,19.62
2025-08,FWD100,银白系列,SUP045,19.3125,CNY,6.91,0.05,22.2094
2025-09,FWD100,银白系列,SUP057,19.6875,CNY,7.06,0.09,21.8531
2025-10,FWD100,银白系列,SUP036,18.5625,CNY,7.21,0.06,19.1194
2025-11,FWD100,银白系列,SUP045,18.5625,CNY,7.16,0.12,21.1612
2024-10,FWD101,银白系列,SUP043,18.1875,CNY,7.11,0.01,20.7337
2024-11,FWD101,银白系列,SUP024,19.5,CNY,6.99,0.06,21.45
2024-12,FWD101,银白系列,SUP003,19.875,CNY,7.24,0.11,22.0613
2025-01,FWD101,银白系列,SUP027,19.5,CNY,7.19,0.11,21.645
2025-02,FWD101,银白系列,SUP036,19.3125,CNY,7.09,0.04,20.4713
2025-03,FWD101,银白系列,SUP016,19.5,CNY,7.22,0.02,20.085
2025-04,FWD101,银白系列,SUP027,18.9375,CNY,7.03,0.01,21.3994
2025-05,FWD101,银白系列,SUP060,19.125,CNY,7.13,0.03,19.6988
2025-06,FWD101,银白系列,SUP015,18.0,CNY,7.12,0.13,18.54
2025-07,FWD101,银白系列,SUP047,19.5,CNY,6.83,0.06,22.23
2025-08,FWD101,银白系列,SUP004,18.75,CNY,7.29,0.05,21.0
2025-09,FWD101,银白系列,SUP032,20.0625,CNY,6.86,0.12,21.2662
2025-10,FWD101,银白系列,SUP053,20.0625,CNY,7.08,0.12,22.8712
2025-11,FWD101,银白系列,SUP024,18.9375,CNY,6.81,0.01,19.695
2024-10,FWD103,银白系列,SUP058,22.4025,CNY,7.25,0.02,24.8668
2024-11,FWD103,银白系列,SUP024,22.62,CNY,6.97,0.08,25.7868
2024-12,FWD103,银白系列,SUP027,23.2725,CNY,7.25,0.07,23.9707
2025-01,FWD103,银白系列,SUP054,23.055,CNY,6.8,0.11,24.6689
2025-02,FWD103,银白系列,SUP021,21.5325,CNY,6.97,0.03,24.1164
2025-03,FWD103,银白系列,SUP031,21.315,CNY,7.2,0.04,23.4465
2025-04,FWD103,银白系列,SUP034,22.4025,CNY,7.03,0.12,24.1947
2025-05,FWD103,银白系列,SUP042,20.6625,CNY,7.25,0.08,21.6956
2025-06,FWD103,银白系列,SUP042,21.75,CNY,7.21,0.04,22.8375
2025-07,FWD103,银白系列,SUP036,21.5325,CNY,7.25,0.02,23.9011
2025-08,FWD103,银白系列,SUP001,22.185,CNY,6.85,0.06,22.6287
2025-09,FWD103,银白系列,SUP034,21.315,CNY,7.27,0.09,24.2991
2025-10,FWD103,银白系列,SUP034,22.185,CNY,7.2,0.11,24.1817
2025-11,FWD103,银白系列,SUP046,22.4025,CNY,7.22,0.09,25.0908
2024-10,FWD110,银白系列,SUP041,19.6425,CNY,6.97,0.1,21.8032
2024-11,FWD110,银白系列,SUP054,19.44,CNY,7.08,0.01,20.412
2024-12,FWD110,银白系列,SUP049,20.655,CNY,6.83,0.05,23.3401
2025-01,FWD110,银白系列,SUP001,20.4525,CNY,6.93,0.08,23.3158
2025-02,FWD110,银白系列,SUP013,19.44,CNY,7.21,0.07,20.9952
2025-03,FWD110,银白系列,SUP048,19.6425,CNY,6.9,0.01,22.3924
2025-04,FWD110,银白系列,SUP027,19.44,CNY,7.28,0.02,20.412
2025-05,FWD110,银白系列,SUP044,20.0475,CNY,6.98,0.11,22.2527
2025-06,FWD110,银白系列,SUP048,21.2625,CNY,7.16,0.03,24.0266
2025-07,FWD110,银白系列,SUP035,21.2625,CNY,6.92,0.13,22.3256
2025-08,FWD110,银白系列,SUP032,21.06,CNY,6.9,0.09,22.3236
2025-09,FWD110,银白系列,SUP021,20.655,CNY,7.22,0.07,22.7205
2025-10,FWD110,银白系列,SUP038,21.465,CNY,7.27,0.08,22.7529
2025-11,FWD110,银白系列,SUP005,21.2625,CNY,6.94,0.07,21.6878
2024-10,FWD111,银白系列,SUP022,23.2725,CNY,6.83,0.04,25.1343
2024-11,FWD111,银白系列,SUP009,21.75,CNY,7.22,0.11,23.49
2024-12,FWD111,银白系列,SUP027,20.88,CNY,6.92,0.04,21.2976
2025-01,FWD111,银白系列,SUP031,22.8375,CNY,6.83,0.11,24.8929
2025-02,FWD111,银白系列,SUP018,22.4025,CNY,7.26,0.07,25.7629
2025-03,FWD111,银白系列,SUP010,20.88,CNY,7.11,0.12,22.1328
2025-04,FWD111,银白系列,SUP013,21.75,CNY,7.12,0.06,24.36
2025-05,FWD111,银白系列,SUP016,22.185,CNY,7.06,0.12,24.8472
2025-06,FWD111,银白系列,SUP008,22.8375,CNY,6.92,0.0,26.2631
2025-07,FWD111,银白系列,SUP001,21.9675,CNY,7.26,0.08,24.1643
2025-08,FWD111,银白系列,SUP032,20.88,CNY,7.1,0.06,23.3856
2025-09,FWD111,银白系列,SUP058,21.9675,CNY,7.22,0.06,22.6265
2025-10,FWD111,银白系列,SUP047,22.185,CNY,6.89,0.1,25.5127
2025-11,FWD111,银白系列,SUP011,23.2725,CNY,7.21,0.02,24.6689
2024-10,FWD111M,银白系列,SUP019,21.9675,CNY,6.84,0.07,23.0659
2024-11,FWD111M,银白系列,SUP005,21.0975,CNY,6.86,0.11,22.9963
2024-12,FWD111M,银白系列,SUP042,21.9675,CNY,7.26,0.01,23.5052
2025-01,FWD111M,银白系列,SUP057,23.055,CNY,7.04,0.08,24.4383
2025-02,FWD111M,银白系列,SUP038,22.62,CNY,6.96,0.13,23.5248
2025-03,FWD111M,银白系列,SUP060,21.315,CNY,7.01,0.04,23.2334
2025-04,FWD111M,银白系列,SUP017,22.62,CNY,6.98,0.1,25.1082
