po_id,sku,category,supplier_id,inspect_date,qty_inspected,qty_defective,defect_rate,defect_type,result,inspector
PO00794,FWD299,虹彩系列,SUP004,2025-11-02,2455,4,0.00163,无,通过,QC-02
PO01073,FWD299,虹彩系列,SUP011,2025-07-16,2369,9,0.0038,外观缺陷,通过,QC-03
PO02252,FWD5518,金属彩光系列,SUP011,2025-06-27,2829,4,0.00141,无,通过,QC-02
PO01129,FWD502WR,耐候系列,SUP046,2025-06-16,238,1,0.0042,尺寸偏差,通过,QC-03
PO00012,FWD413,着色系列,SUP011,2025-10-30,1083,9,0.00831,无,通过,QC-03
PO00852,FWD303WR,耐候系列,SUP045,2025-07-26,3849,5,0.0013,尺寸偏差,通过,QC-03
PO01623,FWD323,金色系列,SUP014,2025-02-06,1233,11,0.00892,无,不通过,QC-03
PO00521,FWD6003,超白系列,SUP010,2025-04-12,866,6,0.00693,无,通过,QC-01
PO02268,BHC9233POH,化妆品系列,SUP022,2025-05-20,3378,28,0.00829,颜色偏差,通过,QC-01
PO02450,FWD508,金属彩光系列,SUP053,2025-08-24,2259,19,0.00841,外观缺陷,通过,QC-01
PO02537,FWD424,着色系列,SUP052,2025-04-11,2097,10,0.00477,尺寸偏差,通过,QC-02
PO01332,BHC9320YB,玻璃变色龙,SUP054,2025-02-14,136,1,0.00735,颜色偏差,通过,QC-02
PO01326,BHC9325BR,玻璃变色龙,SUP030,2024-12-08,1065,0,0.0,尺寸偏差,通过,QC-01
PO01157,FWD307,金色系列,SUP010,2025-07-13,2168,21,0.00969,颜色偏差,通过,QC-03
PO01273,FWD407,着色系列,SUP040,2025-03-23,2582,9,0.00349,外观缺陷,通过,QC-02
PO01065,FWD351,金色系列,SUP019,2025-08-30,4969,2,0.0004,无,通过,QC-01
PO01977,FWD7504,其他,SUP030,2026-01-18,512,2,0.00391,颜色偏差,通过,QC-02
PO02318,FWD7352,其他,SUP042,2025-09-05,2401,13,0.00541,尺寸偏差,通过,QC-01
PO00514,FWD506,金属彩光系列,SUP056,2025-01-27,2768,22,0.00795,无,通过,QC-01
PO02178,FWD6002A,超白系列,SUP048,2026-01-03,4552,34,0.00747,外观缺陷,通过,QC-03
