supplier_id,supplier_name,country,city,contact_person,payment_terms,currency,rating,on_time_rate,defect_rate,min_order_qty,established_year,certified_iso
SUP001,供应商_A01,台湾,深圳,Kim Manager,30天,JPY,4.3,0.89,0.04,128,2016,False
SUP002,供应商_A02,中国,东京,Kim Manager,30天,CNY,4.7,0.99,0.03,3427,2011,True
SUP003,供应商_A03,韩国,上海,Wang GM,预付30%,USD,4.7,0.95,0.04,793,1998,False
SUP004,供应商_A04,韩国,苏州,李经理,预付30%,JPY,3.3,0.98,0.01,2851,2003,False
SUP005,供应商_A05,印度,首尔,Kim Manager,60天,USD,3.1,0.87,0.01,2704,2009,True
SUP006,供应商_A06,美国,东京,张总,45天,CNY,3.1,0.96,0.05,1084,1996,True
SUP007,供应商_A07,美国,深圳,Kim Manager,60天,EUR,4.1,0.91,0.01,467,1991,True
SUP008,供应商_A08,德国,上海,Kim Manager,预付30%,EUR,3.5,0.94,0.03,3973,1996,True
SUP009,供应商_A09,韩国,上海,李经理,30天,USD,4.5,0.81,0.02,2411,2005,True
SUP010,供应商_A10,韩国,深圳,Wang GM,60天,EUR,4.1,0.8,0.01,3267,2009,False
SUP011,供应商_B11,韩国,苏州,张总,45天,CNY,3.3,0.76,0.0,1739,1991,False
SUP012,供应商_B12,美国,广州,Kim Manager,30天,CNY,3.8,0.87,0.03,4757,2003,False
SUP013,供应商_B13,韩国,深圳,李经理,60天,CNY,4.4,0.8,0.0,4647,2005,False
SUP014,供应商_B14,日本,上海,Wang GM,预付30%,JPY,3.3,0.94,0.04,4011,2001,True
SUP015,供应商_B15,日本,广州,Wang GM,45天,USD,4.4,0.76,0.03,2367,2014,False
SUP016,供应商_B16,美国,广州,Kim Manager,30天,CNY,3.4,0.79,0.03,4927,1996,True
SUP017,供应商_B17,印度,广州,张总,预付30%,CNY,4.1,0.79,0.01,4843,1997,True
SUP018,供应商_B18,美国,东京,Kim Manager,预付30%,CNY,4.8,0.75,0.01,2368,2011,False
SUP019,供应商_B19,台湾,首尔,Kim Manager,60天,EUR,4.3,0.83,0.05,4154,2013,True
SUP020,供应商_B20,台湾,首尔,张总,预付30%,CNY,3.4,0.97,0.03,1834,1999,False
SUP021,供应商_C21,德国,深圳,Wang GM,45天,JPY,4.8,0.77,0.03,4154,2001,True
SUP022,供应商_C22,台湾,宁波,李经理,预付30%,CNY,3.1,0.82,0.0,1640,2002,False
SUP023,供应商_C23,印度,首尔,Wang GM,预付30%,EUR,3.7,0.85,0.04,2201,1996,True
