sku,sales_unit_price,cost
FWD100,25.0,18.75
FWD101,25.0,18.75
FWD103,29.0,21.75
FWD110,27.0,20.25
FWD111,29.0,21.75
FWD111M,29.0,21.75
FWD111MT,29.0,21.75
FWD119,30.0,22.5
FWD120,28.0,21.0
FWD122,30.0,22.5
FWD123,30.0,22.5
FWD123T,33.0,24.75
FWD123TS,38.0,28.5
FWD151,25.0,18.75
FWD152,27.0,20.25
FWD153,26.0,19.5
FWD163,25.0,18.75
FWD173,26.0,19.5
FWD201,37.5,28.125
FWD205,37.5,28.125
FWD205A,37.5,28.125
FWD205M,37.5,28.125
FWD2205G,37.5,28.125
FWD211,37.5,28.125
FWD215,37.5,28.125
FWD219,37.5,28.125
FWD221,37.5,28.125
FWD223,37.5,28.125
FWD225,37.5,28.125
FWD231,37.5,28.125
FWD235,37.5,28.125
FWD259,37.5,28.125
FWD289,37.5,28.125
FWD299,37.5,28.125
FWD216,37.5,28.125
FWD217,37.5,28.125
FWD224,37.5,28.125
FWD249,37.5,28.125
FWD300,37.5,28.125
FWD301,37.5,28.125
FWD302,37.5,28.125
FWD303,37.5,28.125
FWD304,37.5,28.125
FWD305,37.5,28.125
FWD306,37.5,28.125
FWD307,37.5,28.125
FWD308,37.5,28.125
FWD320,37.5,28.125
FWD323,37.5,28.125
FWD323M,37.5,28.125
FWD325,39.5,29.625
FWD3302,37.5,28.125
FWD330,37.5,28.125
FWD351,37.5,28.125
FWD353,37.5,28.125
FWD355,37.5,28.125
FWD362,37.5,28.125
FWD3112,40.0,30.0
FWD361,35.0,26.25
FWD400B,44.0,33.0
FWD401,44.0,33.0
FWD402,44.0,33.0
FWD4002,44.0,33.0
FWD4002T,44.0,33.0
FWD4012,44.0,33.0
FWD4012T,44.0,33.0
FWD403,44.0,33.0
FWD405B,44.0,33.0
FWD407,44.0,33.0
FWD415Y,44.0,33.0
FWD408,60.0,45.0
FWD410,60.0,45.0
FWD411,60.0,45.0
FWD413,60.0,45.0
FWD416,60.0,45.0
FWD417,60.0,45.0
FWD418B,60.0,45.0
FWD419B,60.0,45.0
FWD421,60.0,45.0
FWD424,60.0,45.0
FWD425,60.0,45.0
FWD425B,60.0,45.0
FWD427,60.0,45.0
FWD429,60.0,45.0
FWD430,60.0,45.0
FWD435,60.0,45.0
FWD435B,60.0,45.0
FWD436,60.0,45.0
FWD491,60.0,45.0
FWD500,34.0,25.5
FWD502,34.0,25.5
FWD503,34.0,25.5
FWD504,34.0,25.5
FWD505,34.0,25.5
FWD508,34.0,25.5
FWD509,34.0,25.5
FWD510,34.0,25.5
FWD520,34.0,25.5
FWD522,34.0,25.5
FWD524,34.0,25.5
FWD525,34.0,25.5
FWD530,34.0,25.5
FWD532,34.0,25.5
FWD534,34.0,25.5
FWD535,34.0,25.5
FWD3500,34.0,25.5
FWD3502,34.0,25.5
FWD3504,34.0,25.5
FWD5516,60.0,45.0
FWD5518,60.0,45.0
FWD5519,60.0,45.0
FWD506,28.0,21.0
FWD552,30.0,22.5
FWD6001,37.5,28.125
FWD6002,37.5,28.125
FWD6002A,37.5,28.125
FWD6002T,37.5,28.125
FWD6003,49.0,36.75
FWD6003T,37.5,28.125
FWD6005,42.0,31.5
FWD6005T,37.5,28.125
FWD6006,39.0,29.25
FWD6007,49.0,36.75
FWD6009,45.0,33.75
FWD6018,37.5,28.125
FWD6018T,37.5,28.125
FWD6163,37.5,28.125
FWD6810,55.0,41.25
FWD6820,85.0,63.75
FWD6830,85.0,63.75
FWD6840,85.0,63.75
FWD6850,85.0,63.75
FWD6860,85.0,63.75
FWD6881,55.0,41.25
FWD6882,55.0,41.25
FWD6883,55.0,41.25
FWD6884,55.0,41.25
FWD6885,55.0,41.25
FWD6300,85.0,63.75
FWD6300T,85.0,63.75
FWD6303,85.0,63.75
FWD6500,55.0,41.25
FWD6504,85.0,63.75
FWD6504T,85.0,63.75
FWD6910,55.0,41.25
FWD6205,55.0,41.25
FWD6215,55.0,41.25
FWD6219,55.0,41.25
FWD6224,55.0,41.25
FWD6225,55.0,41.25
FWD6235,55.0,41.25
FWD6500A,55.0,41.25
FWD6501,55.0,41.25
FWD6502,55.0,41.25
FWD6502A,55.0,41.25
FWD6504A,55.0,41.25
FWD6303A,55.0,41.25
FWD6307A,55.0,41.25
FWD62011,70.0,52.5
FWD6221,65.0,48.75
FWD6231,65.0,48.75
FWDD10A,100.0,75.0
FWDD10L,120.0,90.0
FWDD21L,280.0,210.0
FWDD23L,280.0,210.0
FWDD25L,280.0,210.0
FWDD27L,280.0,210.0
FWDD28L,280.0,210.0
FWDD29L,350.0,262.5
FWDD10M,120.0,90.0
FWDD21M,280.0,210.0
FWDD23M,280.0,210.0
FWDD25M,280.0,210.0
FWDD27M,280.0,210.0
FWDD28M,280.0,210.0
FWDD29M,350.0,262.5
FWDD10X,120.0,90.0
FWDD21X,250.0,187.5
FWDD23X,250.0,187.5
FWDD25X,250.0,187.5
FWDD27X,250.0,187.5
FWDD28X,250.0,187.5
FWDD29X,350.0,262.5
FWDD10Y,120.0,90.0
FWD5880B,150.0,112.5
FWD5890,120.0,90.0
FWD5891,250.0,187.5
FWD5892,250.0,187.5
FWD5893,250.0,187.5
FWD5894,250.0,187.5
FWD5895,250.0,187.5
FWD5800,135.0,101.25
FWD5800A,120.0,90.0
FWD5800D,120.0,90.0
FWD5870A,180.0,135.0
FWD5870B,180.0,135.0
FWD5870C,180.0,135.0
FWD5870D,180.0,135.0
FWD5871C,260.0,195.0
FWD5872C,260.0,195.0
FWD5871A,280.0,210.0
FWD5872A,280.0,210.0
FWD5873A,280.0,210.0
FWD5874A,280.0,210.0
FWD6601,150.0,112.5
FWD6601A,150.0,112.5
FWD6602,150.0,112.5
FWD6602E,150.0,112.5
FWD6603,250.0,187.5
FWD6603B,250.0,187.5
FWD6683T,300.0,225.0
FWD111WR,60.0,45.0
FWD103TWR,60.0,45.0
FWD121WR,60.0,45.0
FWD151WR,60.0,45.0
FWD152WR,60.0,45.0
FWD101WR,60.0,45.0
FWD201WR,90.0,67.5
FWD211WR,90.0,67.5
FWD223WR,90.0,67.5
FWD221WR,90.0,67.5
FWD231WR,90.0,67.5
FWD205WR,90.0,67.5
FWD215WR,90.0,67.5
FWD219WR,90.0,67.5
FWD225WR,90.0,67.5
FWD235WR,90.0,67.5
FWD300WR,90.0,67.5
FWD303WR,90.0,67.5
FWD306WR,90.0,67.5
FWD302WR,90.0,67.5
FWD323WR,90.0,67.5
FWD351WR,90.0,67.5
FWD7305WR,120.0,90.0
