sku,当前品类,成本(¥)（销售单价*0.75）【只需填写销售单价即可】,销售单价(¥),缺失项
0,,0,,缺品类 / 缺成本 / 缺销售单价
1#兰绿,,0,,缺品类 / 缺成本 / 缺销售单价
2#墨绿,,0,,缺品类 / 缺成本 / 缺销售单价
3#深紫,,0,,缺品类 / 缺成本 / 缺销售单价
4#紫色,,0,,缺品类 / 缺成本 / 缺销售单价
5#棕色,,0,,缺品类 / 缺成本 / 缺销售单价
6#枣红,,0,,缺品类 / 缺成本 / 缺销售单价
7#宝蓝,,0,,缺品类 / 缺成本 / 缺销售单价
8#丈青,,0,,缺品类 / 缺成本 / 缺销售单价
901272.32,,0,,缺品类 / 缺成本 / 缺销售单价
BHC100,,24.75,33,缺品类
BHC110,,26.25,35,缺品类
BHC11401C,,112.5,150,缺品类
BHC11402C,,112.5,150,缺品类
BHC120,,27,36,缺品类
BHC150,,27,36,缺品类
BHC151,,27,36,缺品类
BHC153,,27,36,缺品类
BHC173,,25.5,34,缺品类
BHC201,,41.25,55,缺品类
BHC2011,,54,72,缺品类
BHC205,,41.25,55,缺品类
BHC211,,0,,缺品类 / 缺成本 / 缺销售单价
BHC216,,41.25,55,缺品类
BHC219,,41.25,55,缺品类
BHC223,,41.25,55,缺品类
BHC225,,41.25,55,缺品类
BHC235,,41.25,55,缺品类
BHC249,,41.25,55,缺品类
BHC259,,0,,缺品类 / 缺成本 / 缺销售单价
BHC2615,,54,72,缺品类
BHC2625,,54,72,缺品类
BHC300,,41.25,55,缺品类
BHC303,,0,,缺品类 / 缺成本 / 缺销售单价
BHC306,,41.25,55,缺品类
BHC355,,0,,缺品类 / 缺成本 / 缺销售单价
BHC362,,41.25,55,缺品类
BHC48205AS,,0,,缺品类 / 缺成本 / 缺销售单价
BHC48215AS,,322.5,430,缺品类
BHC48215C,,150,200,缺品类
BHC48219AS,,0,,缺品类 / 缺成本 / 缺销售单价
BHC48225AS,,0,,缺品类 / 缺成本 / 缺销售单价
BHC48235AS,,0,,缺品类 / 缺成本 / 缺销售单价
BHC48305PB,,90,120,缺品类
BHC48315AS,,352.5,470,缺品类
BHC48315C,,150,200,缺品类
BHC48316C,,150,200,缺品类
BHC48323C,,150,200,缺品类
BHC48325PB,,90,120,缺品类
BHC48350PB,,90,120,缺品类
BHC48515C,,150,200,缺品类
BHC500,,39,52,缺品类
BHC500A,,0,,缺品类 / 缺成本 / 缺销售单价
BHC502,,39,52,缺品类
BHC5020,,39,52,缺品类
BHC5022,,39,52,缺品类
BHC5024,,39,52,缺品类
BHC504,,39,52,缺品类
BHC505,,39,52,缺品类
BHC508,,39,52,缺品类
BHC509,,0,,缺品类 / 缺成本 / 缺销售单价
BHC510,,39,52,缺品类
BHC520,,39,52,缺品类
BHC521,,0,,缺品类 / 缺成本 / 缺销售单价
BHC521H,,0,,缺品类 / 缺成本 / 缺销售单价
BHC522,,39,52,缺品类
BHC5302,,39,52,缺品类
BHC533,,39,52,缺品类
BHC535,,39,52,缺品类
BHC5528,,56.25,75,缺品类
BHC5800,,150,200,缺品类
BHC5801,,225,300,缺品类
BHC5801A,,0,,缺品类 / 缺成本 / 缺销售单价
BHC5802,,225,300,缺品类
BHC5802A,,0,,缺品类 / 缺成本 / 缺销售单价
BHC5804,,225,300,缺品类
BHC5805,,225,300,缺品类
BHC5805A,,0,,缺品类 / 缺成本 / 缺销售单价
BHC5806,,270,360,缺品类
BHC5810,,150,200,缺品类
BHC5811,,225,300,缺品类
BHC5811A,,0,,缺品类 / 缺成本 / 缺销售单价
BHC5812,,225,300,缺品类
BHC5813,,225,300,缺品类
