SKU,target_month,predicted_qty,mae,rmse,mape,model_version,trained_at
1#兰绿,2025-12,0.75,13.68,16.41,4.4703,lgbm-v1,2026-04-11T02:53:17.769190Z
1#兰绿,2026-01,0.0,13.68,16.41,4.4703,lgbm-v1,2026-04-11T02:53:17.769190Z
1#兰绿,2026-02,0.0,13.68,16.41,4.4703,lgbm-v1,2026-04-11T02:53:17.769190Z
1#兰绿,2026-03,22.62,13.68,16.41,4.4703,lgbm-v1,2026-04-11T02:53:17.769190Z
1#兰绿,2026-04,0.0,13.68,16.41,4.4703,lgbm-v1,2026-04-11T02:53:17.769190Z
1#兰绿,2026-05,0.0,13.68,16.41,4.4703,lgbm-v1,2026-04-11T02:53:17.769190Z
2#墨绿,2025-12,6.49,8.02,11.91,0.2854,lgbm-v1,2026-04-11T02:53:17.769190Z
2#墨绿,2026-01,0.0,8.02,11.91,0.2854,lgbm-v1,2026-04-11T02:53:17.769190Z
2#墨绿,2026-02,0.0,8.02,11.91,0.2854,lgbm-v1,2026-04-11T02:53:17.769190Z
2#墨绿,2026-03,0.0,8.02,11.91,0.2854,lgbm-v1,2026-04-11T02:53:17.769190Z
2#墨绿,2026-04,0.0,8.02,11.91,0.2854,lgbm-v1,2026-04-11T02:53:17.769190Z
2#墨绿,2026-05,3.07,8.02,11.91,0.2854,lgbm-v1,2026-04-11T02:53:17.769190Z
3#深紫,2025-12,10.62,9.61,12.64,0.3294,lgbm-v1,2026-04-11T02:53:17.769190Z
3#深紫,2026-01,0.0,9.61,12.64,0.3294,lgbm-v1,2026-04-11T02:53:17.769190Z
3#深紫,2026-02,0.0,9.61,12.64,0.3294,lgbm-v1,2026-04-11T02:53:17.769190Z
3#深紫,2026-03,0.0,9.61,12.64,0.3294,lgbm-v1,2026-04-11T02:53:17.769190Z
3#深紫,2026-04,0.0,9.61,12.64,0.3294,lgbm-v1,2026-04-11T02:53:17.769190Z
3#深紫,2026-05,0.0,9.61,12.64,0.3294,lgbm-v1,2026-04-11T02:53:17.769190Z
4#紫色,2025-12,10.36,10.98,13.39,0.3982,lgbm-v1,2026-04-11T02:53:17.769190Z
4#紫色,2026-01,0.0,10.98,13.39,0.3982,lgbm-v1,2026-04-11T02:53:17.769190Z
4#紫色,2026-02,0.0,10.98,13.39,0.3982,lgbm-v1,2026-04-11T02:53:17.769190Z
4#紫色,2026-03,0.0,10.98,13.39,0.3982,lgbm-v1,2026-04-11T02:53:17.769190Z
4#紫色,2026-04,0.0,10.98,13.39,0.3982,lgbm-v1,2026-04-11T02:53:17.769190Z
4#紫色,2026-05,0.0,10.98,13.39,0.3982,lgbm-v1,2026-04-11T02:53:17.769190Z
5#棕色,2025-12,4.92,14.97,17.96,6.9206,lgbm-v1,2026-04-11T02:53:17.769190Z
5#棕色,2026-01,0.0,14.97,17.96,6.9206,lgbm-v1,2026-04-11T02:53:17.769190Z
5#棕色,2026-02,0.0,14.97,17.96,6.9206,lgbm-v1,2026-04-11T02:53:17.769190Z
5#棕色,2026-03,0.0,14.97,17.96,6.9206,lgbm-v1,2026-04-11T02:53:17.769190Z
